nome_remedio,pergunta,resposta_esperada,secoes_esperadas
AMOXIL,Para que serve o Amoxil?,"Amoxil, antibiótico eficaz contra grande variedade de bactérias, é indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.",PARA QUE ESTE MEDICAMENTO É INDICADO?
AMOXIL,Quando não devo usar este medicamento?,"Este medicamento não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a cefalosporinas; quem já teve reação alérgica (como erupções de pele) ao tomar um antibiótico deve conversar com o médico antes de usar.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? 
AMOXIL,Qual a dose padrão para adultos e crianças acima de 40 kg?,"A dose padrão é de 500 mg (uma cápsula) três vezes ao dia, de 8 em 8 horas.",COMO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,Esse remédio pode causar diarreia?,"Sim. Diarreia (várias evacuações amolecidas por dia) é listada como reação comum, ocorrendo em 1% a 10% dos pacientes que utilizam o medicamento.",QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
AMOXIL,Como devo guardar este medicamento?,"Conservar as cápsulas na embalagem original, protegido da umidade e em temperatura ambiente (entre 15 °C e 30 °C), mantendo-o sempre fora do alcance de crianças.","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO? "
RIVOTRIL,Para que serve o Rivotril?,"Rivotril é indicado para tratar crises epilépticas e espasmos infantis (síndrome de West), além de transtornos de ansiedade (distúrbio do pânico com ou sem medo de espaços abertos e fobia social), transtornos do humor (mania no transtorno bipolar e depressão ansiosa), síndromes psicóticas (acatisia), síndrome das pernas inquietas, vertigem e distúrbios do equilíbrio e síndrome da boca ardente.",PARA QUE ESTE MEDICAMENTO É INDICADO? 
RIVOTRIL,Como o Rivotril age no organismo?,"Clonazepam pertence à classe dos benzodiazepínicos e causa inibição leve do sistema nervoso, com ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante.",COMO ESTE MEDICAMENTO FUNCIONA? 
RIVOTRIL,Quem não deve usar o Rivotril?,Pacientes com hipersensibilidade conhecida a clonazepam ou a qualquer dos excipientes; insuficiência respiratória grave; comprometimento hepático grave; histórico de apneia do sono (quando usado para transtorno do pânico); e glaucoma agudo de ângulo fechado.,QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? 
RIVOTRIL,Qual a dose inicial recomendada de Rivotril para distúrbio do pânico em adultos?,"0,5 mg/dia, dividida em 2 doses.",COMO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,Esse medicamento pode causar sonolência?,Sim. Sonolência esteve entre as reações adversas observadas em ≥ 5% dos pacientes em estudos clínicos.,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR? 
TYLENOL,Para que serve o Tylenon?,"Este medicamento é indicado para a redução da febre e para o alívio temporário de dores leves a moderadas, tais como: dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e cólicas menstruais.",PARAQUE ESTE MEDICAMENTO É INDICADO?
TYLENOL,Em quanto tempo o Tylenol começa a fazer efeito?,O efeito tem início 15 a 30 minutos após a administração oral.,COMO ESTE MEDICAMENTO FUNCIONA?
TYLENOL,Como devo conservar este medicamento?,"Deve ser conservado em temperatura ambiente (entre 15 °C e 30 °C), protegido da luz e da umidade, em sua embalagem original.","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?"
TYLENOL,Qual a dose indicada de Tylenol 500 mg para adultos e maiores de 12 anos?,"1 a 2 comprimidos, 3 a 4 vezes ao dia.",COMO DEVO USAR ESTE MEDICAMENTO?
TYLENOL,Quais reações alérgicas o Tylenol pode causar?,"Podem ocorrer urticária, coceira e vermelhidão no corpo, reações alérgicas ao medicamento, aumento das transaminases e erupção fixa medicamentosa.",QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
