question_id,source_dataset_row,medicine,difficulty,question,expected_answer,status,evidence_id,evidence_type,relevance_grade,evidence_text,gold_rank,gold_chunk_id,gold_leaflet_id,gold_section_id,gold_section_type,gold_chunk_index,match_confidence,match_reason,chunk_text,notes
q001,faceis_revisadas.csv:1,AMOXIL,facil,Para que serve o Amoxil?,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,matched,q001_ev01,essential,3,"PARA QUE ESTE MEDICAMENTO É INDICADO?** **Amoxil[®]** , antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico. ## **2.",1,chunk_29c1314f7e21,leaf_0ee4a572a9d5,sec_7be1ca706b0f,indication,0,high,seção esperada; sobreposição semântica/lexical com pergunta e resposta esperada,"PARA QUE ESTE MEDICAMENTO É INDICADO?** **Amoxil[®]** , antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico. ## **2.",
q001,faceis_revisadas.csv:1,AMOXIL,facil,Para que serve o Amoxil?,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,matched,q001_ev02,essential,3,"PARA QUE ESTE MEDICAMENTO É INDICADO?** **Amoxil[®]** , um antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico. ## **2.",2,chunk_4cbe37a723e5,leaf_d76f76b8b2f4,sec_65e376921073,indication,0,high,seção esperada; sobreposição semântica/lexical com pergunta e resposta esperada,"PARA QUE ESTE MEDICAMENTO É INDICADO?** **Amoxil[®]** , um antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico. ## **2.",
q001,faceis_revisadas.csv:1,AMOXIL,facil,Para que serve o Amoxil?,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,matched,q001_ev03,supporting,2,"...EVO USAR ESTE MEDICAMENTO?** Este medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar **Amoxil[®] .** ## **4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO** ? Antes de iniciar o tratamento com **Amoxil**[] , informe seu médico: - se você já apresentou reação alér...",3,chunk_622fb4d46c7e,leaf_0ee4a572a9d5,sec_7d3e1905bb76,contraindication,0,medium,sobreposição semântica/lexical com pergunta e resposta esperada,"QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?** Este medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar **Amoxil[®] .** ## **4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO** ? Antes de iniciar o tratamento com **Amoxil**[] , informe seu médico: - se você já apresentou reação alérgica a algum antibiótico. Isso pode incluir reações na pele ou inchaço na face ou pescoço ou dores no peito. - se você apresenta febre glandular. - se você toma medicamentos usados para prevenir coágulos sanguíneos (anticoagulantes), tais como varfarina, o seu médico fará um monitoramento e, se necessário, poderá sugerir ajustes na dose dos anticoagulantes. - se você apresenta problema nos rins. - se você não estiver urinando regularmente. - se você já teve diarreia durante ou após o uso de antibióticos. 1 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas O uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a **Amoxil[®]** .",
q001,faceis_revisadas.csv:1,AMOXIL,facil,Para que serve o Amoxil?,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,matched,q001_ev04,supporting,1,"...oxil[®]** , mas há excreção de quantidades mínimas de amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes de iniciar o tratamento com **Amoxil[®]** . ## **Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.** **Uso compatível com o aleitamento ou doação de leite humano. O uso desse medicamento não interfere no aleitamento do bebê.** ## **Uso em idosos, crianças e outros grupos de risco** As recomendações especiais se refere...",4,chunk_7d57d737a19d,leaf_0ee4a572a9d5,sec_7d3e1905bb76,contraindication,2,low,sobreposição semântica/lexical com pergunta e resposta esperada,"se estiver grávida, exceto se seu médico recomendar. Você pode amamentar seu bebê enquanto estiver tomando **Amoxil[®]** , mas há excreção de quantidades mínimas de amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes de iniciar o tratamento com **Amoxil[®]** . ## **Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.** **Uso compatível com o aleitamento ou doação de leite humano. O uso desse medicamento não interfere no aleitamento do bebê.** ## **Uso em idosos, crianças e outros grupos de risco** As recomendações especiais se referem às doses . ## **Interações Medicamentosas** Alguns medicamentos podem causar efeitos indesejáveis se você os ingerir durante o tratamento com **Amoxil[®]** . Não deixe de avisar seu médico caso você esteja tomando: - medicamentos usados no tratamento de gota (probenecida ou alopurinol); - outros antibióticos; - pílulas anticoncepcionais (como acontece com outros antibióticos, talvez sejam necessárias precauções adicionais para evitar a gravidez); - anticoagulantes; - metotrexato (usado para tratar doenças como câncer e psoríase grave). A alimentação não interfere na ação de **Amoxil[®]** , que pode ser ingerido nas refeições. **Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento. Não use medicamento sem o conhecimento do seu médico. Pode ser perigoso para a sua saúde.**",
q002,faceis_revisadas.csv:2,AMOXIL,facil,Quando não devo usar Amoxil?,"Amoxil não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se o paciente já teve reação alérgica, como erupções na pele, ao tomar antibiótico, deve conversar com o médico antes de usar Amoxil.",matched,q002_ev01,essential,3,"QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?** Este medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar **Amoxil[®] .** ## **4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO** ? Antes de iniciar o tratamento com **Amoxil**[] , informe seu médico: - se você já apresentou...",1,chunk_622fb4d46c7e,leaf_0ee4a572a9d5,sec_7d3e1905bb76,contraindication,0,high,seção esperada; sobreposição semântica/lexical com pergunta e resposta esperada,"QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?** Este medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar **Amoxil[®] .** ## **4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO** ? Antes de iniciar o tratamento com **Amoxil**[] , informe seu médico: - se você já apresentou reação alérgica a algum antibiótico. Isso pode incluir reações na pele ou inchaço na face ou pescoço ou dores no peito. - se você apresenta febre glandular. - se você toma medicamentos usados para prevenir coágulos sanguíneos (anticoagulantes), tais como varfarina, o seu médico fará um monitoramento e, se necessário, poderá sugerir ajustes na dose dos anticoagulantes. - se você apresenta problema nos rins. - se você não estiver urinando regularmente. - se você já teve diarreia durante ou após o uso de antibióticos. 1 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas O uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a **Amoxil[®]** .",
q002,faceis_revisadas.csv:2,AMOXIL,facil,Quando não devo usar Amoxil?,"Amoxil não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se o paciente já teve reação alérgica, como erupções na pele, ao tomar antibiótico, deve conversar com o médico antes de usar Amoxil.",matched,q002_ev02,essential,3,"QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?** Este medicamento não pode ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar **Amoxil[®]** . ## **4.",2,chunk_9d394eb70d17,leaf_d76f76b8b2f4,sec_412d80d7cb44,contraindication,0,high,seção esperada; sobreposição semântica/lexical com pergunta e resposta esperada,"QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?** Este medicamento não pode ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar **Amoxil[®]** . ## **4.",
q002,faceis_revisadas.csv:2,AMOXIL,facil,Quando não devo usar Amoxil?,"Amoxil não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se o paciente já teve reação alérgica, como erupções na pele, ao tomar antibiótico, deve conversar com o médico antes de usar Amoxil.",matched,q002_ev03,supporting,2,"...as O uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a **Amoxil[®]** . **Amoxil[®]** pode piorar algumas condições existentes ou causar efeitos colaterais graves, como reações alérgicas severas, reações cutâneas severas, dor no peito, vômitos repetitivos dentro de 1 a 4 horas após a administração de **Amoxil[®]** ou diarreia grave (colite pseudomembranosa). Você deve estar atento a determinados sintomas enquanto estiver recebendo **Amoxil[®]** para ajudar a red...",3,chunk_d22f44452468,leaf_0ee4a572a9d5,sec_7d3e1905bb76,contraindication,1,high,seção esperada; sobreposição semântica/lexical com pergunta e resposta esperada,"já teve diarreia durante ou após o uso de antibióticos. 1 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas O uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a **Amoxil[®]** . **Amoxil[®]** pode piorar algumas condições existentes ou causar efeitos colaterais graves, como reações alérgicas severas, reações cutâneas severas, dor no peito, vômitos repetitivos dentro de 1 a 4 horas após a administração de **Amoxil[®]** ou diarreia grave (colite pseudomembranosa). Você deve estar atento a determinados sintomas enquanto estiver recebendo **Amoxil[®]** para ajudar a reduzir o risco de quaisquer problemas. ## **Efeitos sobre a capacidade de dirigir veículos e de operar máquinas** Não se observaram efeitos adversos sobre a capacidade de dirigir veículos e de operar máquinas. ## **Gravidez e amamentação** **Amoxil[®]** pode ser usado na gravidez desde que os benefícios potenciais sejam maiores que os riscos potenciais associados ao tratamento. Informe seu médico se você estiver grávida ou suspeitar que está grávida. Você não deve tomar este medicamento se estiver grávida, exceto se seu médico recomendar. Você pode amamentar seu bebê enquanto estiver tomando **Amoxil[®]** , mas há excreção de quantidades mínimas de amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes de iniciar o tratamento com **Amoxil[®]** .",
q002,faceis_revisadas.csv:2,AMOXIL,facil,Quando não devo usar Amoxil?,"Amoxil não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se o paciente já teve reação alérgica, como erupções na pele, ao tomar antibiótico, deve conversar com o médico antes de usar Amoxil.",matched,q002_ev04,supporting,2,"...tes de iniciar o tratamento com **Amoxil[®]** . ## **Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.** **Uso compatível com o aleitamento ou doação de leite humano. O uso desse medicamento não interfere no aleitamento do bebê.** ## **Uso em idosos, crianças e outros grupos de risco** As recomendações especiais se referem às doses . ## **Interações Medicamentosas** Alguns medicamentos podem causar efeitos indesejáveis se você os ingerir durante o tratamen...",4,chunk_7d57d737a19d,leaf_0ee4a572a9d5,sec_7d3e1905bb76,contraindication,2,high,seção esperada; sobreposição semântica/lexical com pergunta e resposta esperada,"se estiver grávida, exceto se seu médico recomendar. Você pode amamentar seu bebê enquanto estiver tomando **Amoxil[®]** , mas há excreção de quantidades mínimas de amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes de iniciar o tratamento com **Amoxil[®]** . ## **Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.** **Uso compatível com o aleitamento ou doação de leite humano. O uso desse medicamento não interfere no aleitamento do bebê.** ## **Uso em idosos, crianças e outros grupos de risco** As recomendações especiais se referem às doses . ## **Interações Medicamentosas** Alguns medicamentos podem causar efeitos indesejáveis se você os ingerir durante o tratamento com **Amoxil[®]** . Não deixe de avisar seu médico caso você esteja tomando: - medicamentos usados no tratamento de gota (probenecida ou alopurinol); - outros antibióticos; - pílulas anticoncepcionais (como acontece com outros antibióticos, talvez sejam necessárias precauções adicionais para evitar a gravidez); - anticoagulantes; - metotrexato (usado para tratar doenças como câncer e psoríase grave). A alimentação não interfere na ação de **Amoxil[®]** , que pode ser ingerido nas refeições. **Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento. Não use medicamento sem o conhecimento do seu médico. Pode ser perigoso para a sua saúde.**",
q003,faceis_revisadas.csv:3,AMOXIL,facil,"Na apresentação cápsulas, qual é a dose padrão de Amoxil para adultos e crianças acima de 40 kg?","Na apresentação cápsulas, para adultos e crianças acima de 40 kg, a dose padrão é 500 mg, equivalente a uma cápsula, três vezes ao dia, de 8 em 8 horas, nas infecções mais graves.",matched,q003_ev01,essential,3,"...médico. Não pare somente porque se sente melhor. **As cápsulas devem ser ingeridas inteiras com água. Não as mastigue.** ## **Posologia** Atenção! Para algumas doses indicadas abaixo (doses inferiores a 500 mg) é necessário o uso da suspensão oral, converse com seu médico ou farmacêutico em caso de dúvida. ## **Dose para adultos e crianças acima de 40 kg** - Dose padrão: 500 mg (uma cápsula) três vezes ao dia (de 8 em 8 horas) nas infecções mais graves. - Tratamento com dosagem alta (máximo recomendável de 6 g ao...",1,chunk_9d0ab2325c26,leaf_0ee4a572a9d5,sec_70be16f94d2d,dosage,0,high,seção esperada; apresentação/formulação mencionada; sobreposição semântica/lexical com pergunta e resposta esperada,"COMO DEVO USAR ESTE MEDICAMENTO?** ## **Modo de usar** Siga as orientações de seu médico sobre a maneira e a hora correta de tomar o medicamento. Ele vai decidir a quantidade diária que você precisa e o tempo durante o qual você deve usar este medicamento. Leia esta bula com cautela. Se você tiver alguma dúvida, fale com seu médico. Recomenda-se ingerir o medicamento nas refeições, embora ele continue eficaz mesmo que você o tome em outros horários. Continue tomando este medicamento até o fim do tratamento prescrito pelo médico. Não pare somente porque se sente melhor. **As cápsulas devem ser ingeridas inteiras com água. Não as mastigue.** ## **Posologia** Atenção! Para algumas doses indicadas abaixo (doses inferiores a 500 mg) é necessário o uso da suspensão oral, converse com seu médico ou farmacêutico em caso de dúvida. ## **Dose para adultos e crianças acima de 40 kg** - Dose padrão: 500 mg (uma cápsula) três vezes ao dia (de 8 em 8 horas) nas infecções mais graves. - Tratamento com dosagem alta (máximo recomendável de 6 g ao dia em doses divididas): recomenda-se uma dose de 3 g (seis cápsulas) duas vezes ao dia (de 12 em 12 horas) em casos que requerem tratamento de infecção respiratória purulenta (com a presença de pus) grave ou recorrente. ## **- Tratamento de curta duração (gonorreia): dose única de 3 g.**",
q003,faceis_revisadas.csv:3,AMOXIL,facil,"Na apresentação cápsulas, qual é a dose padrão de Amoxil para adultos e crianças acima de 40 kg?","Na apresentação cápsulas, para adultos e crianças acima de 40 kg, a dose padrão é 500 mg, equivalente a uma cápsula, três vezes ao dia, de 8 em 8 horas, nas infecções mais graves.",matched,q003_ev02,essential,3,"...vada em geladeira (entre 2[o] C e 8[o] C). ## **Agite a suspensão oral antes de usá-la.** 3 **==> picture [86 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Pó para suspensão oral ## **Posologia** ## **Dose para adultos e crianças acima de 40 kg** Dose padrão: 250 mg três vezes ao dia (de 8 em 8 horas), podendo ser aumentada para 500 mg três vezes ao dia (de 8 em 8 horas) nas infecções mais graves. ## **Tratamento com dosagem alta (máximo recomendável de 6 g ao dia em doses divid...",2,chunk_c0033b15fe08,leaf_d76f76b8b2f4,sec_8896cdffa974,dosage,1,high,seção esperada; sobreposição semântica/lexical com pergunta e resposta esperada,"servada em geladeira (entre 2[o] C e 8[o] C). ## **Agite a suspensão oral antes de usá-la.** 3 **==> picture [86 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Pó para suspensão oral ## **Posologia** ## **Dose para adultos e crianças acima de 40 kg** Dose padrão: 250 mg três vezes ao dia (de 8 em 8 horas), podendo ser aumentada para 500 mg três vezes ao dia (de 8 em 8 horas) nas infecções mais graves. ## **Tratamento com dosagem alta (máximo recomendável de 6 g ao dia em doses divididas)** Recomenda-se uma dose de 3g duas vezes ao dia (de 12 em 12 horas) nos casos que requerem tratamento de infecção respiratória purulenta (com a presença de pus) grave ou recorrente. ## **Tratamento de curta duração** Gonorreia: dose única de 3 g. ## **Erradicação de** _**Helicobacter pylori**_ **em úlcera péptica (no duodeno ou no estômago)** Para combater o _Helicobacter_ (bactéria que ataca o estômago e o duodeno), recomenda-se o uso de **Amoxil[®]** no esquema de 750 mg a 1 g duas vezes ao dia, em associação com um inibidor da bomba de prótons (exemplo: omeprazol, lanzoprazol) e outro agente antimicrobiano (por exemplo claritromicina, metronidazol), por 7 dias. ## **Dose para crianças abaixo de 40 kg** Dose padrão para crianças: 20 a 50 mg/kg/dia em doses divididas (de 8 em 8 horas), até um máximo de 150 mg/kg/dia em doses divididas. ## **Pacientes com insuficiência renal (dos rins)**",
