nome_remedio,pergunta,resposta_esperada,secoes_esperadas
AMOXIL,Para que serve o Amoxil?,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,PARA QUE ESTE MEDICAMENTO É INDICADO?
AMOXIL,Quando não devo usar Amoxil?,"Amoxil não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se o paciente já teve reação alérgica, como erupções na pele, ao tomar antibiótico, deve conversar com o médico antes de usar Amoxil.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,"Na apresentação cápsulas, qual é a dose padrão de Amoxil para adultos e crianças acima de 40 kg?","Na apresentação cápsulas, para adultos e crianças acima de 40 kg, a dose padrão é 500 mg, equivalente a uma cápsula, três vezes ao dia, de 8 em 8 horas, nas infecções mais graves.",COMO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,Amoxil pode causar diarreia?,"Sim. Diarreia é uma reação comum, ocorrendo entre 1% e 10% dos pacientes que utilizam Amoxil.",QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
AMOXIL,Como devo guardar as cápsulas de Amoxil?,"As cápsulas de Amoxil devem ser conservadas na embalagem original, protegidas da umidade e em temperatura ambiente, entre 15 °C e 30 °C. Todo medicamento deve ser mantido fora do alcance das crianças.","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?"
RIVOTRIL,Para que serve o Rivotril?,"Rivotril é indicado para tratar crises epilépticas e espasmos infantis, também chamados síndrome de West. Em adultos, também é indicado para transtornos de ansiedade, transtornos do humor, síndromes psicóticas, síndrome das pernas inquietas, vertigem e distúrbios do equilíbrio e síndrome da boca ardente.",PARA QUE ESTE MEDICAMENTO É INDICADO?
RIVOTRIL,Como o Rivotril age no organismo?,"O clonazepam pertence à classe dos benzodiazepínicos, medicamentos que causam inibição leve do sistema nervoso, com ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante.",COMO ESTE MEDICAMENTO FUNCIONA?
RIVOTRIL,Quem não deve usar o Rivotril?,"Rivotril é contraindicado para pacientes com hipersensibilidade conhecida ao clonazepam ou a qualquer excipiente, insuficiência respiratória grave, comprometimento grave do fígado ou glaucoma agudo de ângulo fechado. Rivotril comprimidos e gotas também são contraindicados para tratamento de transtornos do pânico em pacientes com histórico de apneia do sono.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,Qual é a dose inicial recomendada de Rivotril para distúrbio do pânico em adultos?,"Para distúrbio do pânico em adultos, a dose inicial recomendada é 0,5 mg por dia, dividida em duas doses.",COMO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,Rivotril pode causar sonolência?,Sim. Sonolência foi uma das reações que ocorreram em 5% ou mais dos pacientes em estudos clínicos.,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
TYLENOL,Para que serve o TYLENOL?,"TYLENOL é indicado para redução da febre e para o alívio temporário de dores leves a moderadas, como dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e cólicas menstruais.",PARA QUE ESTE MEDICAMENTO É INDICADO?
TYLENOL,Em quanto tempo o TYLENOL começa a fazer efeito?,O efeito de TYLENOL começa 15 a 30 minutos após a administração oral e permanece por 4 a 6 horas.,COMO ESTE MEDICAMENTO FUNCIONA?
TYLENOL,Como devo conservar TYLENOL?,"TYLENOL deve ser conservado em temperatura ambiente, entre 15 °C e 30 °C, protegido da luz e da umidade. O medicamento deve ser guardado em sua embalagem original e mantido fora do alcance das crianças.","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?"
TYLENOL,Qual é a dose indicada de TYLENOL 500 mg para adultos e crianças acima de 12 anos?,"Para adultos e crianças acima de 12 anos, a dose de TYLENOL 500 mg é de 1 a 2 comprimidos, 3 a 4 vezes ao dia.",COMO DEVO USAR ESTE MEDICAMENTO?
TYLENOL,Quais reações muito raras TYLENOL pode causar segundo a seção de reações adversas?,"Segundo a seção de reações adversas, TYLENOL pode causar, muito raramente, urticária, coceira e vermelhidão no corpo, reações alérgicas ao medicamento, aumento das transaminases e erupção fixa medicamentosa.",QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
