pipeline,modelo,nome_remedio,nivel,pergunta,dificuldade,resposta_esperada,secoes_esperadas,resposta_gerada,resposta_crua,secoes_recuperadas,chunk_ids_recuperados,textos_recuperados,tempo_recuperacao_segundos,tempo_inferencia_segundos,guarded_planner_primary,guarded_planner_secondary,guarded_planner_safety,guarded_expanded_sections,guarded_confidence,guarded_fallback_triggered,guarded_debug_trace
fusion_rag,ollama:mediphi-instruct,AMOXIL,dificil,"Em um paciente que usa varfarina e apresenta insuficiência renal moderada, quais cuidados a bula orienta quanto ao anticoagulante e como a posologia de Amoxil deve ser ajustada? Explique a relação entre eliminação renal e necessidade de ajuste.",dificil,"A bula orienta informar o médico sobre o uso de anticoagulantes como varfarina; o médico fará monitoramento e, se necessário, poderá ajustar a dose dos anticoagulantes. Em insuficiência renal moderada, a dose máxima para adultos e crianças acima de 40 kg é 500 mg duas vezes ao dia, de 12 em 12 horas, porque na insuficiência renal a eliminação do antibiótico é mais lenta e a dose diária total pode precisar ser reduzida.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada do AMOXIL, não constam informações sobre cuidados com varfarina em pacientes que apresentem insuficiência renal moderada ou recomendação para posologia de anticoagulante.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica. É recomendável consultar um profissional de saúde para orientação individualizada.*","Na bula consultada do AMOXIL, não constam informações sobre cuidados com varfarina em pacientes que apresentem insuficiência renal moderada ou recomendação para posologia de anticoagulante.",,,[],9.303,7.816,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,dificil,"Em pacientes com insuficiência renal grave submetidos a diálise peritoneal ou hemodiálise, como a bula diferencia o manejo posológico de Amoxil e qual é a justificativa relacionada à remoção da amoxicilina?",dificil,"Para diálise peritoneal, usa-se a mesma posologia indicada para insuficiência renal grave, e a bula informa que a diálise peritoneal não remove a amoxicilina do corpo. Para hemodiálise, também se usa a posologia de insuficiência renal grave, mas a amoxicilina é removida do sangue por hemodiálise; por isso, uma dose adicional de 500 mg para adultos e crianças acima de 40 kg, ou 15 mg/kg para crianças abaixo de 40 kg, pode ser administrada durante e ao final de cada diálise.",COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada do AMOXIL não constam informações sobre como lidar com pacientes que sofrem de insuficiência renal grave e estão submetidos a diálise peritoneal ou hemodiálise.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica. É recomendável consultar um profissional de saúde para orientação individualizada.*",Na bula consultada do AMOXIL não constam informações sobre como lidar com pacientes que sofrem de insuficiência renal grave e estão submetidos a diálise peritoneal ou hemodiálise.,,,[],9.703,8.162,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,dificil,"Ao escolher entre cápsulas e suspensão oral de Amoxil para um paciente com fenilcetonúria e histórico de reações alérgicas, quais componentes da formulação exigem cautela e como esses alertas diferem entre as apresentações?",dificil,"Na suspensão oral, a bula informa que há aspartamo, fonte de fenilalanina, devendo ser usado com cautela em pacientes com fenilcetonúria; também informa que contém benzoato de sódio, que pode causar reações alérgicas, como asma, especialmente em pessoas alérgicas ao ácido acetilsalicílico. Nas cápsulas, a bula alerta para corantes como vermelho de eritrosina, azul de indigotina, dióxido de titânio e óxido de ferro amarelo, que podem eventualmente causar reações alérgicas. Assim, a avaliação depende da apresentação e do tipo de risco do paciente.",IDENTIFICAÇÃO DO MEDICAMENTO / COMPOSIÇÃO / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?,"Na bula consultada do AMOXIL não constam informações sobre a escolha de suspensão ou cápsulas para pacientes com fenilcetonúria e histórico alérgico. Na bula, apenas se destaca que o medicamento contém lactose em sua formulação líquida; por isso recomenda-se evitar a administração de AMOXIL suspensão para pacientes com fenilcetonúria e histórico alérgico.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada do AMOXIL não constam informações sobre a escolha de suspensão ou cápsulas para pacientes com fenilcetonúria e histórico alérgico. Na bula, apenas se destaca que o medicamento contém lactose em sua formulação líquida; por isso recomenda-se evitar a administração de AMOXIL suspensão para pacientes com fenilcetonúria e histórico alérgico.",,,[],17.247,15.849,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,dificil,"Durante o uso de Amoxil, um paciente apresenta diarreia grave com sangue e cólicas abdominais, além de erupção cutânea com bolhas. Que eventos graves descritos na bula devem ser considerados e qual conduta a bula orienta diante de sinais alérgicos importantes?",dificil,"A diarreia grave, possivelmente com sangue e acompanhada de cólicas, é compatível com colite associada a antibióticos descrita na bula. A erupção cutânea com bolhas pode corresponder a reações cutâneas graves, como eritema multiforme, necrólise epidérmica tóxica, síndrome de Stevens-Johnson, dermatite esfoliativa bolhosa, exantema pustuloso, doença IgA linear, DRESS ou SDRIFE. A bula alerta que Amoxil pode causar reações alérgicas severas e reações cutâneas severas; diante de sinais repentinos de alergia, como erupção, coceira, urticária, inchaço da face/lábios/língua, falta de ar ou problemas para respirar, o paciente deve parar de usar Amoxil e procurar socorro médico o mais rápido possível.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"Na bula consultada do AMOXIL, não constam informações sobre eventos graves que possam ocorrer com este medicamento. Não há detalhes específicos para responder a essa pergunta no contexto fornecido.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada do AMOXIL, não constam informações sobre eventos graves que possam ocorrer com este medicamento. Não há detalhes específicos para responder a essa pergunta no contexto fornecido.",,,[],10.401,8.384,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,dificil,"Compare os esquemas de Amoxil para infecção grave em adultos, infecção respiratória purulenta grave ou recorrente, gonorreia e erradicação de Helicobacter pylori, destacando quando a bula exige associação com outros medicamentos.",dificil,"Para adultos e crianças acima de 40 kg, a dose padrão em infecções mais graves é 500 mg três vezes ao dia, de 8 em 8 horas. Para infecção respiratória purulenta grave ou recorrente, a bula recomenda dose alta de 3 g duas vezes ao dia, de 12 em 12 horas, respeitando o máximo recomendável de 6 g ao dia em doses divididas. Para gonorreia, a bula descreve dose única de 3 g. Para erradicação de Helicobacter pylori, Amoxil deve ser usado em associação com um inibidor da bomba de prótons, como omeprazol ou lanzoprazol, e outro antimicrobiano, como claritromicina ou metronidazol, por 7 dias.",COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada do AMOXIL não constam informações sobre esquemas para infecções graves em adultos ou gonorreia, nem detalhes de erradicação da Helicobacter pylori. Na ausência dessas especificações na descrição fornecida, a resposta é: ""Na bula consultada do AMOXIL não constam informações sobre esquemas para infecções graves em adultos ou gonorreia e erradicação de Helicobacter pylori.""

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada do AMOXIL não constam informações sobre esquemas para infecções graves em adultos ou gonorreia, nem detalhes de erradicação da Helicobacter pylori. Na ausência dessas especificações na descrição fornecida, a resposta é: ""Na bula consultada do AMOXIL não constam informações sobre esquemas para infecções graves em adultos ou gonorreia e erradicação de Helicobacter pylori.""",,,[],31.447,17.359,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,dificil,"Em um paciente idoso com comprometimento hepático leve a moderado que também usa depressores do sistema nervoso central, quais riscos e ajustes a bula exige considerar antes de iniciar Rivotril?",dificil,"A bula informa que os efeitos dos benzodiazepínicos parecem ser maiores em idosos, mesmo em concentrações plasmáticas similares, e que nesses pacientes deve ser usada a menor dose possível, com cuidado especial durante alterações de dose. Para comprometimento hepático leve a moderado, a bula também recomenda a menor dose possível; em comprometimento hepático grave, Rivotril não deve ser usado. Além disso, não se deve tomar Rivotril com álcool e/ou depressores do sistema nervoso central, pois a combinação pode aumentar seus efeitos, com potencial sedação grave que pode resultar em coma ou morte, depressão cardiovascular e/ou respiratória.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada para o medicamento RIVOTRIL não constam informações sobre os potenciais perigos ou precauções necessárias em pacientes idosos com comprometimento hepático leve a moderado que usam depressores do sistema nervoso central.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica. É recomendável consultar um profissional de saúde para orientação individualizada.*",Na bula consultada para o medicamento RIVOTRIL não constam informações sobre os potenciais perigos ou precauções necessárias em pacientes idosos com comprometimento hepático leve a moderado que usam depressores do sistema nervoso central.,,,[],9.975,9.037,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,dificil,"Um paciente com epilepsia em uso de Rivotril deseja interromper o tratamento subitamente. Quais riscos a bula descreve envolvendo estado de mal epiléptico, dependência e abstinência, e qual deve ser a estratégia de retirada?",dificil,"A bula alerta que Rivotril pode precipitar estado de mal epiléptico e orienta falar com o médico antes de aumentar a dose ou interromper abruptamente a medicação. O uso de benzodiazepínicos pode levar à dependência física e psicológica, com risco maior em doses altas, tratamentos prolongados e história de abuso de álcool ou drogas. A descontinuação brusca pode causar sintomas de abstinência, incluindo psicoses, alterações comportamentais, tremor, sudorese, agitação, distúrbios do sono, ansiedade e convulsões epilépticas. Portanto, a retirada brusca deve ser evitada e o tratamento deve ser interrompido por redução gradativa da dose diária, sob orientação médica.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada do RIVOTRIL não constam informações sobre riscos envolvendo estado epiléptico ou dependência. Ainda assim, para interromper o uso abruptamente pode causar efeitos adversos como tremores musculares; consulte um profissional de saúde antes da suspensão do medicamento por completo.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada do RIVOTRIL não constam informações sobre riscos envolvendo estado epiléptico ou dependência. Ainda assim, para interromper o uso abruptamente pode causar efeitos adversos como tremores musculares; consulte um profissional de saúde antes da suspensão do medicamento por completo.",,,[],18.366,11.923,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,dificil,"Por que a bula contraindica Rivotril para tratamento de transtorno do pânico em pacientes com histórico de apneia do sono, quando se consideram seus efeitos no sistema nervoso e no sistema respiratório?",dificil,"A bula contraindica Rivotril comprimidos e gotas para tratamento de transtornos do pânico em pacientes com histórico de apneia do sono. Ela informa que clonazepam é um benzodiazepínico que causa inibição leve do sistema nervoso, com ação sedativa leve, relaxante muscular e tranquilizante, e também descreve risco de depressão respiratória. Além disso, álcool e depressores do sistema nervoso central podem aumentar os efeitos de Rivotril, com sedação grave, coma ou morte e depressão cardiovascular e/ou respiratória. Assim, usando apenas a bula, a contraindicação se relaciona ao risco de agravar comprometimento respiratório em pacientes com apneia do sono.",COMO ESTE MEDICAMENTO FUNCIONA? / QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"Na bula consultada de RIVOTRIL, não consta informações sobre por que a droga é contraindicado para o tratamento do transtorno do pânico em pacientes com histórico de apneia. Na bula fornecida estão apenas os efeitos no sistema nervoso (eletrocardiogramas, pressão arterial) ou nos sistemas respiratório/respiratório que são:
        - Edema pulmonar agudo por bloqueio de receptores beta-2 adrenérgicos.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica. É recomendável consultar um profissional de saúde para orientação individualizada.*","Na bula consultada de RIVOTRIL, não consta informações sobre por que a droga é contraindicado para o tratamento do transtorno do pânico em pacientes com histórico de apneia. Na bula fornecida estão apenas os efeitos no sistema nervoso (eletrocardiogramas, pressão arterial) ou nos sistemas respiratório/respiratório que são:
        - Edema pulmonar agudo por bloqueio de receptores beta-2 adrenérgicos.",,,[],11.721,18.337,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,dificil,"Se um paciente em uso de Rivotril consome suco de toranja e também utiliza medicamentos que agem no sistema nervoso, que efeitos potencializados a bula permite prever e quais limites de informação devem ser reconhecidos?",dificil,"A bula informa que interações com alimentos não foram estabelecidas, mas que o suco de toranja pode aumentar o efeito de Rivotril. Também orienta informar o médico sobre medicamentos que agem no sistema nervoso, como antidepressivos, medicamentos para dormir, alguns analgésicos, antipsicóticos, ansiolíticos e anticonvulsivantes, pois podem interagir com Rivotril. Com álcool ou depressores do sistema nervoso central, a combinação pode aumentar os efeitos, com sedação grave, coma ou morte e depressão cardiovascular e/ou respiratória. A bula não quantifica alteração de concentração plasmática nem descreve mecanismo farmacocinético do suco de toranja; portanto, esses detalhes não podem ser respondidos apenas pela bula.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?,"Na bula consultada do RIVOTRIL não constam informações sobre o consumo concomitante com suco de toranja ou medicamentos que agem no sistema nervoso. Portanto, sem detalhes adicionais disponíveis na bula para essa combinação especificamente mencionado em relação a efeitos potencializados.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica. É recomendável consultar um profissional de saúde para orientação individualizada.*","Na bula consultada do RIVOTRIL não constam informações sobre o consumo concomitante com suco de toranja ou medicamentos que agem no sistema nervoso. Portanto, sem detalhes adicionais disponíveis na bula para essa combinação especificamente mencionado em relação a efeitos potencializados.",,,[],11.401,11.759,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,dificil,"Quais precauções devem ser adotadas antes de iniciar Rivotril em pacientes com depressão, tentativa de suicídio prévia ou risco de alterações comportamentais, e quais eventos psiquiátricos da bula fundamentam essa cautela?",dificil,"Antes de tomar Rivotril, o paciente deve informar o médico se tem ou teve sinais ou sintomas de depressão e/ou tentativa de suicídio. A cautela se fundamenta nos eventos psiquiátricos relatados na bula, como amnésia, alucinações, psicose, tentativa de suicídio, ideias suicidas, distúrbios emocionais e de humor, estado confusional e desorientação. A bula também descreve reações paradoxais como inquietação, agitação, irritabilidade, agressividade, ansiedade, distúrbios do sono, delírio, raiva, pesadelos, alucinações, psicose, hiperatividade e comportamento inapropriado, e informa que depressão pode estar associada à doença de base.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"Na bula consultada do RIVOTRIL não constam informações sobre precauções para pacientes com depressão, tentativa anterior ou risco psiquiátrico.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada do RIVOTRIL não constam informações sobre precauções para pacientes com depressão, tentativa anterior ou risco psiquiátrico.",,,[],13.49,6.466,,,,,,False,{}
