"nome_remedio","nivel","pergunta","resposta_esperada","secoes_esperadas"
"AMOXIL","dificil","Em um paciente em uso de varfarina, como Amoxil pode afetar o tratamento anticoagulante e qual monitoramento adicional deve ser realizado?","Amoxil pode interferir no tratamento com anticoagulantes como varfarina: a bula orienta informar o médico, pois será feito monitoramento e, se necessário, poderá haver ajuste da dose dos anticoagulantes. A bula não especifica qual exame ou parâmetro laboratorial deve ser monitorado; portanto, para esse detalhe, a bula não fornece informações suficientes.","O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?"
"AMOXIL","dificil","Considerando que Amoxil elimina-se principalmente pelos rins, como deve ser ajustada a dose em pacientes em diálise peritoneal versus hemodiálise e por que há essa diferença farmacocinética?","Na insuficiência renal, a eliminação da amoxicilina é mais lenta e a dose diária total pode precisar ser reduzida. Em diálise peritoneal, deve-se usar a mesma posologia de insuficiência renal grave, pois a diálise peritoneal não remove a amoxicilina do corpo. Em hemodiálise, também se usa a posologia de insuficiência renal grave, mas a amoxicilina é removida do sangue por hemodiálise; por isso, pode ser administrada dose adicional durante e ao final de cada diálise.","COMO DEVO USAR ESTE MEDICAMENTO?/Posologia"
"AMOXIL","dificil","Por que a formulação em suspensão oral de Amoxil contém aspartamo e quais cuidados especiais devem ser observados em pacientes com fenilcetonúria?","A suspensão oral contém aspartamo, que é fonte de fenilalanina. Por isso, deve ser usada com cautela em pacientes com fenilcetonúria, e o paciente deve informar o médico caso tenha essa doença. A bula não explica a finalidade farmacotécnica do aspartamo na formulação; portanto, quanto ao motivo de sua inclusão, a bula não fornece informações suficientes.","IDENTIFICAÇÃO DO MEDICAMENTO/COMPOSIÇÃO/4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?"
"AMOXIL","dificil","Em terapias prolongadas, quais reações adversas graves envolvendo fígado e pele devem ser monitoradas e em quais seções da bula isso está descrito?","Em terapias prolongadas, a bula alerta para supercrescimento de microrganismos resistentes. Quanto a eventos graves a monitorar, a bula descreve efeitos hepáticos como enjoo, vômito, perda de apetite, mal-estar, febre, coceira, amarelamento da pele e dos olhos, escurecimento da urina e aumento de enzimas hepáticas. Também descreve reações cutâneas graves, incluindo eritema multiforme, necrólise epidérmica tóxica, síndrome de Stevens-Johnson, dermatite esfoliativa bolhosa, exantema pustuloso, doença IgA linear, DRESS e SDRIFE.","O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?"
"AMOXIL","dificil","Qual a justificativa farmacológica para dividir doses altas de até 6 g/dia em 3 g duas vezes ao dia em infecções purulentas graves?","A bula informa que, para tratamento com dosagem alta, o máximo recomendável é 6 g ao dia em doses divididas, com recomendação de 3 g duas vezes ao dia em casos de infecção respiratória purulenta grave ou recorrente. Contudo, a bula não fornece informações suficientes para justificar farmacologicamente por que essa divisão de dose é escolhida.","COMO DEVO USAR ESTE MEDICAMENTO?"
"RIVOTRIL","dificil","Em idosos com comprometimento hepático leve a moderado, como o metabolismo de clonazepam e sua farmacocinética influenciam o ajuste da dose inicial?","A bula não fornece informações sobre metabolismo ou farmacocinética do clonazepam. Ela apenas informa que os efeitos dos benzodiazepínicos parecem ser maiores em idosos, mesmo em concentrações plasmáticas similares, e que em idosos deve ser usada a menor dose possível com cuidado especial nas alterações de dose. Também informa que pacientes com comprometimento hepático leve a moderado devem receber a menor dose possível, enquanto pacientes com comprometimento grave do fígado não devem ser tratados com clonazepam.","O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?"
"RIVOTRIL","dificil","Qual o mecanismo farmacológico que fundamenta a necessidade de descontinuação gradual para prevenir estado de mal epiléptico e sintomas de abstinência?","A bula informa que o clonazepam é um benzodiazepínico que causa inibição leve do sistema nervoso, com ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante. Ela alerta que Rivotril pode precipitar estado de mal epiléptico e que a interrupção abrupta deve ser evitada. Também informa que o uso de benzodiazepínicos pode causar dependência física e psicológica, e que a descontinuação brusca pode causar sintomas de abstinência, incluindo convulsões epilépticas. Assim, a retirada deve ser gradual para reduzir o risco de novas crises e de abstinência.","COMO ESTE MEDICAMENTO FUNCIONA? / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?"
"RIVOTRIL","dificil","Por que o uso de Rivotril é contraindicado em pacientes com histórico de apneia do sono no tratamento do transtorno do pânico, considerando suas propriedades farmacológicas?","Rivotril é contraindicado para tratamento de transtorno do pânico em pacientes com histórico de apneia do sono. A bula também informa que clonazepam é um benzodiazepínico com ação sedativa leve e tranquilizante, que pode causar depressão respiratória e que álcool ou depressores do sistema nervoso central podem intensificar seus efeitos, com potencial sedação grave, coma ou morte e depressão cardiovascular e/ou respiratória. Portanto, a contraindicação se relaciona ao risco respiratório em um paciente com apneia do sono.","COMO ESTE MEDICAMENTO FUNCIONA? / QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?"
"RIVOTRIL","dificil","Em que medida o suco de toranja pode afetar o perfil de concentração plasmática de clonazepam e qual recomendação clínica a bula sugere?","A bula informa apenas que interações com alimentos não foram estabelecidas e que o suco de toranja pode aumentar o efeito de Rivotril. Ela não descreve o impacto quantitativo no perfil de concentração plasmática do clonazepam; portanto, para esse detalhe, a bula não fornece informações suficientes. A recomendação clínica implícita é informar o médico sobre o uso de medicamentos e considerar que o suco de toranja pode potencializar o efeito do medicamento.","4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?/Interações fármaco-alimento"
"RIVOTRIL","dificil","Quais precauções devem ser adotadas em pacientes com histórico de depressão ou ideação suicida antes de iniciar tratamento com Rivotril e qual a fundamentação clínica para essa recomendação?","Antes de iniciar Rivotril, o paciente deve informar ao médico se tem ou teve sinais ou sintomas de depressão e/ou tentativa de suicídio. A fundamentação clínica na bula é que, entre os eventos psiquiátricos relatados, aparecem depressão, tentativa de suicídio, ideias suicidas, distúrbios emocionais e de humor, estado confusional e desorientação; a bula também observa que depressão pode estar associada à doença de base.","4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?/8. QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?"
