id,leaflet_id,section_id,medicine,section_type,leaflet_type,chunk_index,start_char,end_char,char_len,section_title,section_heading_path,text
chunk_381105994f64,leaf_0ee4a572a9d5,sec_1d6c2dc3e760,amoxil,identification,patient_leaflet,0,0,878,878,Identificação do medicamento,Identificação do medicamento > **APRESENTAÇÕES**  > **USO ORAL**  > **USO ADULTO E PEDIÁTRICO (ACIMA DE 40 KG)**  > **COMPOSIÇÃO**  > **II) INFORMAÇÕES AO PACIENTE**  > **1.,"IDENTIFICAÇÃO DO MEDICAMENTO** **Amoxil**[] amoxicilina ## **APRESENTAÇÕES** Cápsulas de 500 mg em embalagem com 15, 21 ou 30 unidades. ## **USO ORAL** ## **USO ADULTO E PEDIÁTRICO (ACIMA DE 40 KG)** ## **COMPOSIÇÃO** Cada cápsula contém: amoxicilina ................................................................................................................................................................ 500 mg (equivalentes a 575 mg de amoxicilina tri-hidratada) Excipiente[1] q.s.p. .................................................................................................................................................... 1 cápsula - 1Excipiente: estearato de magnésio. Composição da cápsula: gelatina, vermelho de eritrosina, azul de indigotina, dióxido de titânio, óxido de ferro amarelo. ## **II) INFORMAÇÕES AO PACIENTE** ## **1."
chunk_29c1314f7e21,leaf_0ee4a572a9d5,sec_7be1ca706b0f,amoxil,indication,patient_leaflet,0,0,352,352,PARA QUE ESTE MEDICAMENTO É INDICADO?,PARA QUE ESTE MEDICAMENTO É INDICADO? > **2.,"PARA QUE ESTE MEDICAMENTO É INDICADO?** **Amoxil[®]** , antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico. ## **2."
chunk_9514da6bb24d,leaf_0ee4a572a9d5,sec_c52beaa4e8ac,amoxil,simplified_mechanism,patient_leaflet,0,0,516,516,COMO ESTE MEDICAMENTO FUNCIONA?,COMO ESTE MEDICAMENTO FUNCIONA? > **3.,"COMO ESTE MEDICAMENTO FUNCIONA?** **Amoxil[®]** contém uma penicilina chamada amoxicilina como ingrediente ativo. A amoxicilina pertence ao grupo dos antibióticos penicilânicos. **Amoxil[®]** é usado no tratamento de uma gama de infecções causadas por bactérias, que podem manifestar-se nos pulmões (pneumonia e bronquite), nas amígdalas (amigdalite), nos seios da face (sinusite), no trato urinário e genital, na pele e nas mucosas. **Amoxil[®]** atua destruindo as bactérias que causam essas infecções. ## **3."
chunk_622fb4d46c7e,leaf_0ee4a572a9d5,sec_7d3e1905bb76,amoxil,contraindication,patient_leaflet,0,0,1301,1301,QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?,QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? > **4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO** ?  > Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas ,"QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?** Este medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar **Amoxil[®] .** ## **4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO** ? Antes de iniciar o tratamento com **Amoxil**[] , informe seu médico: - se você já apresentou reação alérgica a algum antibiótico. Isso pode incluir reações na pele ou inchaço na face ou pescoço ou dores no peito. - se você apresenta febre glandular. - se você toma medicamentos usados para prevenir coágulos sanguíneos (anticoagulantes), tais como varfarina, o seu médico fará um monitoramento e, se necessário, poderá sugerir ajustes na dose dos anticoagulantes. - se você apresenta problema nos rins. - se você não estiver urinando regularmente. - se você já teve diarreia durante ou após o uso de antibióticos. 1 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas O uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a **Amoxil[®]** ."
chunk_d22f44452468,leaf_0ee4a572a9d5,sec_7d3e1905bb76,amoxil,contraindication,patient_leaflet,1,1004,2493,1489,QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?,QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? > Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas  > **Efeitos sobre a capacidade de dirigir veículos e de operar máquinas**  > **Gravidez e amamentação** ,"já teve diarreia durante ou após o uso de antibióticos. 1 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas O uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a **Amoxil[®]** . **Amoxil[®]** pode piorar algumas condições existentes ou causar efeitos colaterais graves, como reações alérgicas severas, reações cutâneas severas, dor no peito, vômitos repetitivos dentro de 1 a 4 horas após a administração de **Amoxil[®]** ou diarreia grave (colite pseudomembranosa). Você deve estar atento a determinados sintomas enquanto estiver recebendo **Amoxil[®]** para ajudar a reduzir o risco de quaisquer problemas. ## **Efeitos sobre a capacidade de dirigir veículos e de operar máquinas** Não se observaram efeitos adversos sobre a capacidade de dirigir veículos e de operar máquinas. ## **Gravidez e amamentação** **Amoxil[®]** pode ser usado na gravidez desde que os benefícios potenciais sejam maiores que os riscos potenciais associados ao tratamento. Informe seu médico se você estiver grávida ou suspeitar que está grávida. Você não deve tomar este medicamento se estiver grávida, exceto se seu médico recomendar. Você pode amamentar seu bebê enquanto estiver tomando **Amoxil[®]** , mas há excreção de quantidades mínimas de amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes de iniciar o tratamento com **Amoxil[®]** ."
chunk_7d57d737a19d,leaf_0ee4a572a9d5,sec_7d3e1905bb76,amoxil,contraindication,patient_leaflet,2,2196,3679,1483,QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?,"QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? > **Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.**  > **Uso em idosos, crianças e outros grupos de risco**  > **Interações Medicamentosas** ","se estiver grávida, exceto se seu médico recomendar. Você pode amamentar seu bebê enquanto estiver tomando **Amoxil[®]** , mas há excreção de quantidades mínimas de amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes de iniciar o tratamento com **Amoxil[®]** . ## **Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.** **Uso compatível com o aleitamento ou doação de leite humano. O uso desse medicamento não interfere no aleitamento do bebê.** ## **Uso em idosos, crianças e outros grupos de risco** As recomendações especiais se referem às doses . ## **Interações Medicamentosas** Alguns medicamentos podem causar efeitos indesejáveis se você os ingerir durante o tratamento com **Amoxil[®]** . Não deixe de avisar seu médico caso você esteja tomando: - medicamentos usados no tratamento de gota (probenecida ou alopurinol); - outros antibióticos; - pílulas anticoncepcionais (como acontece com outros antibióticos, talvez sejam necessárias precauções adicionais para evitar a gravidez); - anticoagulantes; - metotrexato (usado para tratar doenças como câncer e psoríase grave). A alimentação não interfere na ação de **Amoxil[®]** , que pode ser ingerido nas refeições. **Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento. Não use medicamento sem o conhecimento do seu médico. Pode ser perigoso para a sua saúde.**"
chunk_11cbb1217441,leaf_0ee4a572a9d5,sec_7d3e1905bb76,amoxil,contraindication,patient_leaflet,3,3382,4164,782,QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?,QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? > **5.,"íase grave). A alimentação não interfere na ação de **Amoxil[®]** , que pode ser ingerido nas refeições. **Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento. Não use medicamento sem o conhecimento do seu médico. Pode ser perigoso para a sua saúde.** **Atenção: Contém os corantes vermelho de eritrosina, azul de indigotina, dióxido de titânio e óxido de ferro amarelo que podem, eventualmente, causar reações alérgicas.** **É importante utilizar este medicamento durante todo o tempo prescrito pelo profissional de saúde habilitado, mesmo que os sinais e sintomas da infecção tenham desaparecido, pois isso não significa a cura. A interrupção do tratamento pode contribuir para o aparecimento de infecções mais graves.** ## **5."
chunk_23a1a45ccf28,leaf_0ee4a572a9d5,sec_29b51bfae3c2,amoxil,storage,patient_leaflet,0,0,994,994,"ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO? > Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas  > **Manter fora do alcance de crianças**  > **Número de lote e datas de fabricação e validade: vide embalagem. Não use medicamento com o prazo de validade vencido. Guarde-o em sua embalagem original.**  > **Aspecto físico/características organolépticas**  > **6.","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO? Cuidados de armazenamento** 2 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas ## **Manter fora do alcance de crianças** Conservar as cápsulas na embalagem original, protegido da umidade e em temperatura ambiente (entre 15[o] C e 30[o] C). ## **Número de lote e datas de fabricação e validade: vide embalagem. Não use medicamento com o prazo de validade vencido. Guarde-o em sua embalagem original.** ## **Aspecto físico/características organolépticas** Cápsulas de 500 mg de duas cores (corpo amarelo opaco e tampa vermelho opaco) impressa com GS JVL e contendo um pó branco a quase branco. **Antes de usar, observe o aspecto do medicamento. Caso ele esteja no prazo de validade e você observe alguma mudança no aspecto, consulte o farmacêutico para saber se poderá utilizá-lo. Todo medicamento deve ser mantido fora do alcance das crianças.** ## **6."
chunk_9d0ab2325c26,leaf_0ee4a572a9d5,sec_70be16f94d2d,amoxil,dosage,patient_leaflet,0,0,1357,1357,COMO DEVO USAR ESTE MEDICAMENTO?,COMO DEVO USAR ESTE MEDICAMENTO? > **Modo de usar**  > **Posologia**  > **Dose para adultos e crianças acima de 40 kg**  > **- Tratamento de curta duração (gonorreia): dose única de 3 g.**,"COMO DEVO USAR ESTE MEDICAMENTO?** ## **Modo de usar** Siga as orientações de seu médico sobre a maneira e a hora correta de tomar o medicamento. Ele vai decidir a quantidade diária que você precisa e o tempo durante o qual você deve usar este medicamento. Leia esta bula com cautela. Se você tiver alguma dúvida, fale com seu médico. Recomenda-se ingerir o medicamento nas refeições, embora ele continue eficaz mesmo que você o tome em outros horários. Continue tomando este medicamento até o fim do tratamento prescrito pelo médico. Não pare somente porque se sente melhor. **As cápsulas devem ser ingeridas inteiras com água. Não as mastigue.** ## **Posologia** Atenção! Para algumas doses indicadas abaixo (doses inferiores a 500 mg) é necessário o uso da suspensão oral, converse com seu médico ou farmacêutico em caso de dúvida. ## **Dose para adultos e crianças acima de 40 kg** - Dose padrão: 500 mg (uma cápsula) três vezes ao dia (de 8 em 8 horas) nas infecções mais graves. - Tratamento com dosagem alta (máximo recomendável de 6 g ao dia em doses divididas): recomenda-se uma dose de 3 g (seis cápsulas) duas vezes ao dia (de 12 em 12 horas) em casos que requerem tratamento de infecção respiratória purulenta (com a presença de pus) grave ou recorrente. ## **- Tratamento de curta duração (gonorreia): dose única de 3 g.**"
chunk_05bc48672ff1,leaf_0ee4a572a9d5,sec_70be16f94d2d,amoxil,dosage,patient_leaflet,1,1061,2435,1374,COMO DEVO USAR ESTE MEDICAMENTO?,COMO DEVO USAR ESTE MEDICAMENTO? > **- Tratamento de curta duração (gonorreia): dose única de 3 g.**  > **Pacientes com insuficiência renal (dos rins)**  > Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas  > **Pacientes que recebem diálise peritoneal**,"g ao dia em doses divididas): recomenda-se uma dose de 3 g (seis cápsulas) duas vezes ao dia (de 12 em 12 horas) em casos que requerem tratamento de infecção respiratória purulenta (com a presença de pus) grave ou recorrente. ## **- Tratamento de curta duração (gonorreia): dose única de 3 g.** **Erradicação de** _**Helicobacter pylori:**_ para combater o _Helicobacter_ (bactéria que ataca o estômago e o duodeno), recomenda-se o uso de Amoxil[®] no esquema de 1 g duas vezes ao dia (de 12 em 12 horas), em associação com um medicamento conhecido como inibidor da bomba de prótons (exemplo: omeprazol, lanzoprazol) e outro agente antimicrobiano (por exemplo claritromicina, metronidazol), por 7 dias. ## **Pacientes com insuficiência renal (dos rins)** Na insuficiência renal, a eliminação do antibiótico é mais lenta. Conforme o grau dessa condição, seu médico pode indicar a redução da dose diária total de acordo com o esquema descrito a seguir. Adultos e crianças acima de 40 kg - insuficiência leve: nenhuma alteração de dose; - insuficiência moderada: máximo de 500 mg (uma cápsula) duas vezes ao dia (de 12 em 12 horas); - insuficiência grave: máximo de 500 mg (uma cápsula) ao dia. 3 **==> picture [87 x 28] intentionally omitted <==** ## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas ## **Pacientes que recebem diálise peritoneal**"
