nome_remedio,nivel,pergunta,resposta_esperada,secoes_esperadas
AMOXIL,facil,Para que serve o Amoxil?,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à amoxicilina.,1. PARA QUE ESTE MEDICAMENTO É INDICADO?
AMOXIL,facil,Quando não devo usar este medicamento?,"Não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se já houve reação alérgica ao tomar antibiótico, como erupções na pele, o paciente deve conversar com o médico antes de usar Amoxil.",3. QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,facil,Qual a dose padrão para adultos e crianças acima de 40 kg?,"Para adultos e crianças acima de 40 kg, a bula da cápsula informa dose padrão de 500 mg (uma cápsula) três vezes ao dia (de 8 em 8 horas) nas infecções mais graves. Na bula da suspensão, a dose padrão é 250 mg três vezes ao dia (de 8 em 8 horas), podendo ser aumentada para 500 mg três vezes ao dia nas infecções mais graves.",6. COMO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,facil,Esse remédio pode causar diarreia?,"Sim. Diarreia é uma reação comum, ocorrendo entre 1% e 10% dos pacientes que utilizam Amoxil. A bula também descreve colite associada a antibióticos, com diarreia grave que pode conter sangue e ser acompanhada de cólicas abdominais, como reação muito rara.",8. QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
AMOXIL,facil,Como devo guardar este medicamento?,"As cápsulas devem ser conservadas na embalagem original, protegidas da umidade e em temperatura ambiente entre 15 °C e 30 °C. Para a suspensão oral, o produto em pó deve ser conservado na embalagem original, protegido da umidade e em temperatura ambiente entre 15 °C e 30 °C; após o preparo, deve ser mantido em geladeira entre 2 °C e 8 °C e é válido por 14 dias após a reconstituição. Todo medicamento deve ser mantido fora do alcance das crianças.","5. ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?"
RIVOTRIL,facil,Para que serve o Rivotril?,"Rivotril é indicado para tratar crises epilépticas e espasmos infantis (síndrome de West). Em adultos, também é indicado para transtornos de ansiedade, como ansiolítico em geral, distúrbio do pânico e fobia social; transtornos do humor, como tratamento da mania no transtorno afetivo bipolar e associação a antidepressivos na depressão maior; acatisia; síndrome das pernas inquietas; vertigem e distúrbios do equilíbrio; e síndrome da boca ardente.",1. PARA QUE ESTE MEDICAMENTO É INDICADO?
RIVOTRIL,facil,Como o Rivotril age no organismo?,"O clonazepam pertence à classe dos benzodiazepínicos, que causam inibição leve do sistema nervoso, com ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante. Na forma oral em dose única, a ação inicia em 30 a 60 minutos e se estende por 6 a 8 horas em crianças e 8 a 12 horas em adultos.",2. COMO ESTE MEDICAMENTO FUNCIONA?
RIVOTRIL,facil,Quem não deve usar o Rivotril?,"Não deve usar Rivotril o paciente com hipersensibilidade conhecida ao clonazepam ou a qualquer excipiente, com insuficiência respiratória grave ou comprometimento grave do fígado. Rivotril comprimidos e gotas são contraindicados para tratamento de transtornos do pânico em pacientes com histórico de apneia do sono. Também é contraindicado em glaucoma agudo de ângulo fechado; pode ser usado em glaucoma de ângulo aberto se o paciente estiver recebendo terapia apropriada.",3. QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,facil,Qual a dose inicial recomendada de Rivotril para distúrbio do pânico em adultos?,"Para distúrbio do pânico em adultos, a dose inicial recomendada é 0,5 mg por dia, dividida em duas doses. A dose pode ser aumentada a critério médico.",6. COMO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,facil,Esse medicamento pode causar sonolência?,"Sim. Sonolência foi uma das reações observadas em 5% ou mais dos pacientes em estudos clínicos. A bula também informa que o clonazepam pode lentificar as reações e que o paciente não deve dirigir veículos ou operar máquinas durante o tratamento, pois habilidade e atenção podem estar prejudicadas.",8. QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?/4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?
TYLENOL,facil,Para que serve o TYLENOL?,"TYLENOL é indicado para redução da febre e para o alívio temporário de dores leves a moderadas, como dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e cólicas menstruais.",1. PARA QUE ESTE MEDICAMENTO É INDICADO?
TYLENOL,facil,Em quanto tempo o TYLENOL começa a fazer efeito?,O efeito de TYLENOL tem início 15 a 30 minutos após a administração oral e permanece por 4 a 6 horas.,2. COMO ESTE MEDICAMENTO FUNCIONA?
TYLENOL,facil,Como devo conservar este medicamento?,"TYLENOL deve ser conservado em temperatura ambiente, entre 15 °C e 30 °C, protegido da luz e da umidade, em sua embalagem original. Todo medicamento deve ser mantido fora do alcance das crianças.","5. ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?"
