pipeline,modelo,nome_remedio,pergunta,dificuldade,resposta_esperada,secoes_esperadas,resposta_gerada,resposta_crua,secoes_recuperadas,chunk_ids_recuperados,textos_recuperados,tempo_recuperacao_segundos,tempo_inferencia_segundos
fusion_rag,ollama:medgemma:4b,AMOXIL,Para que serve o Amoxil?,facil,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,PARA QUE ESTE MEDICAMENTO É INDICADO?,"De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: PARA QUE ESTE MEDICAMENTO É INDICADO?** Amoxil[®] , antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: PARA QUE ESTE MEDICAMENTO É INDICADO?** Amoxil[®] , antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico.","PARA QUE ESTE MEDICAMENTO É INDICADO?, COMO ESTE MEDICAMENTO FUNCIONA?",,"[""1. PARA QUE ESTE MEDICAMENTO É INDICADO?** \n\n**Amoxil[®]** , antibiótico eficaz contra grande variedade de bactérias, é indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. Se desejar mais informações, pergunte ao seu médico. \n\n## **"", ""2. COMO ESTE MEDICAMENTO FUNCIONA?** \n\n**Amoxil[®]** contém uma penicilina chamada amoxicilina como ingrediente ativo. A amoxicilina pertence ao grupo dos antibióticos penicilânicos. **Amoxil[®]** é usado no tratamento de uma gama de infecções causadas por bactérias, que podem manifestar-se nos pulmões (pneumonia e bronquite), nas amígdalas (amigdalite), nos seios da face (sinusite), no trato urinário e genital, na pele e nas mucosas. **Amoxil[®]** atua destruindo as bactérias que causam essas infecções. \n\n## **""]",17.644,4.155
fusion_rag,ollama:medgemma:4b,AMOXIL,Quando não devo usar Amoxil?,facil,"Amoxil não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se o paciente já teve reação alérgica, como erupções na pele, ao tomar antibiótico, deve conversar com o médico antes de usar Amoxil.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?,"De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: ""Este medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar Amoxil[®] .""

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: ""Este medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar Amoxil[®] .""",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?,,"[""3. QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?** \n\nEste medicamento não pode ser administrado nem ingerido por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu médico antes de usar **Amoxil[®] .** \n\n## **4. O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO** ? \n\nAntes de iniciar o tratamento com **Amoxil**[] , informe seu médico: \n\n- se você já apresentou reação alérgica a algum antibiótico. Isso pode incluir reações na pele ou inchaço na face ou pescoço ou dores no peito. \n\n- se você apresenta febre glandular. \n\n- se você toma medicamentos usados para prevenir coágulos sanguíneos (anticoagulantes), tais como varfarina, o seu médico fará um monitoramento e, se necessário, poderá sugerir ajustes na dose dos anticoagulantes. \n\n- se você apresenta problema nos rins. \n\n- se você não estiver urinando regularmente. \n\n- se você já teve diarreia durante ou após o uso de antibióticos. \n\n1 \n\n**==> picture [87 x 28] intentionally omitted <==**\n\n## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas \n\nO uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a **Amoxil[®]** ."", ""1 \n\n**==> picture [87 x 28] intentionally omitted <==**\n\n## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas \n\nO uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a **Amoxil[®]** . \n\n**Amoxil[®]** pode piorar algumas condições existentes ou causar efeitos colaterais graves, como reações alérgicas severas, reações cutâneas severas, dor no peito, vômitos repetitivos dentro de 1 a 4 horas após a administração de **Amoxil[®]** ou diarreia grave (colite pseudomembranosa). Você deve estar atento a determinados sintomas enquanto estiver recebendo **Amoxil[®]** para ajudar a reduzir o risco de quaisquer problemas. \n\n## **Efeitos sobre a capacidade de dirigir veículos e de operar máquinas** \n\nNão se observaram efeitos adversos sobre a capacidade de dirigir veículos e de operar máquinas. \n\n## **Gravidez e amamentação** \n\n**Amoxil[®]** pode ser usado na gravidez desde que os benefícios potenciais sejam maiores que os riscos potenciais associados ao tratamento. Informe seu médico se você estiver grávida ou suspeitar que está grávida. Você não deve tomar este medicamento se estiver grávida, exceto se seu médico recomendar. \n\nVocê pode amamentar seu bebê enquanto estiver tomando **Amoxil[®]** , mas há excreção de quantidades mínimas de amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes de iniciar o tratamento com **Amoxil[®]** . \n\n## **Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.**"", ""## **Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.** \n\n**Uso compatível com o aleitamento ou doação de leite humano. O uso desse medicamento não interfere no aleitamento do bebê.** \n\n## **Uso em idosos, crianças e outros grupos de risco** \n\nAs recomendações especiais se referem às doses . \n\n## **Interações Medicamentosas** \n\nAlguns medicamentos podem causar efeitos indesejáveis se você os ingerir durante o tratamento com **Amoxil[®]** . Não deixe de avisar seu médico caso você esteja tomando: \n\n- medicamentos usados no tratamento de gota (probenecida ou alopurinol); \n\n- outros antibióticos; \n\n- pílulas anticoncepcionais (como acontece com outros antibióticos, talvez sejam necessárias precauções adicionais para evitar a gravidez); \n\n- anticoagulantes; \n\n- metotrexato (usado para tratar doenças como câncer e psoríase grave). A alimentação não interfere na ação de **Amoxil[®]** , que pode ser ingerido nas refeições. \n\n**Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento. Não use medicamento sem o conhecimento do seu médico. Pode ser perigoso para a sua saúde.** \n\n**Atenção: Contém os corantes vermelho de eritrosina, azul de indigotina, dióxido de titânio e óxido de ferro amarelo que podem, eventualmente, causar reações alérgicas.**"", ""**Atenção: Contém os corantes vermelho de eritrosina, azul de indigotina, dióxido de titânio e óxido de ferro amarelo que podem, eventualmente, causar reações alérgicas.** \n\n**É importante utilizar este medicamento durante todo o tempo prescrito pelo profissional de saúde habilitado, mesmo que os sinais e sintomas da infecção tenham desaparecido, pois isso não significa a cura. A interrupção do tratamento pode contribuir para o aparecimento de infecções mais graves.** \n\n## **""]",3.971,4.663
fusion_rag,ollama:medgemma:4b,AMOXIL,"Na apresentação cápsulas, qual é a dose padrão de Amoxil para adultos e crianças acima de 40 kg?",facil,"Na apresentação cápsulas, para adultos e crianças acima de 40 kg, a dose padrão é 500 mg, equivalente a uma cápsula, três vezes ao dia, de 8 em 8 horas, nas infecções mais graves.",COMO DEVO USAR ESTE MEDICAMENTO?,"De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: ""A dose padrão para adultos e crianças acima de 40 kg é de 500 mg (uma cápsula) três vezes ao dia (de 8 em 8 horas) nas infecções mais graves.""

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: ""A dose padrão para adultos e crianças acima de 40 kg é de 500 mg (uma cápsula) três vezes ao dia (de 8 em 8 horas) nas infecções mais graves.""","O QUE DEVO FAZER QUANDO EU ME ESQUECER DE USAR ESTE MEDICAMENTO?, COMO DEVO USAR ESTE MEDICAMENTO?",,"[""## **- Tratamento de curta duração (gonorreia): dose única de 3 g.** \n\n**Erradicação de** _**Helicobacter pylori:**_ para combater o _Helicobacter_ (bactéria que ataca o estômago e o duodeno), recomenda-se o uso de Amoxil[®] no esquema de 1 g duas vezes ao dia (de 12 em 12 horas), em associação com um medicamento conhecido como inibidor da bomba de prótons (exemplo: omeprazol, lanzoprazol) e outro agente antimicrobiano (por exemplo claritromicina, metronidazol), por 7 dias. \n\n## **Pacientes com insuficiência renal (dos rins)** \n\nNa insuficiência renal, a eliminação do antibiótico é mais lenta. Conforme o grau dessa condição, seu médico pode indicar a redução da dose diária total de acordo com o esquema descrito a seguir. \n\nAdultos e crianças acima de 40 kg \n\n- insuficiência leve: nenhuma alteração de dose; \n\n- insuficiência moderada: máximo de 500 mg (uma cápsula) duas vezes ao dia (de 12 em 12 horas); \n\n- insuficiência grave: máximo de 500 mg (uma cápsula) ao dia. \n\n3 \n\n**==> picture [87 x 28] intentionally omitted <==**\n\n## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas \n\n## **Pacientes que recebem diálise peritoneal** \n\nUsa-se a mesma posologia indicada para pacientes com insuficiência renal grave. A diálise peritoneal (processo de limpeza das substâncias tóxicas do organismo através do peritônio, membrana que envolve o abdômen) não remove a amoxicilina do corpo. \n\n## **Pacientes que recebem hemodiálise** \n\nUsa-se a mesma posologia indicada para pacientes com insuficiência renal grave."", ""## **Pacientes que recebem hemodiálise** \n\nUsa-se a mesma posologia indicada para pacientes com insuficiência renal grave. \n\nA amoxicilina é removida do sangue por hemodiálise (processo que substitui os rins na filtragem sanguínea). Portanto, uma dose adicional (500 mg para adultos e crianças acima de 40kg ou 15 mg/kg para crianças abaixo de 40 kg) pode ser administrada durante e no final de cada diálise. \n\nSeu médico poderá indicar tratamento por via parenteral (feito com aplicação de injeções intravenosas, intramusculares ou subcutâneas) nos casos em que a via oral for considerada inadequada (particularmente nos tratamentos urgentes de infecções graves). \n\nConforme o grau de insuficiência renal, talvez seu médico ache necessário reduzir a dose diária total. \n\n**Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento de seu médico. Este medicamento não deve ser partido ou mastigado.** \n\n## **"", ""6. COMO DEVO USAR ESTE MEDICAMENTO?** \n\n## **Modo de usar** \n\nSiga as orientações de seu médico sobre a maneira e a hora correta de tomar o medicamento. Ele vai decidir a quantidade diária que você precisa e o tempo durante o qual você deve usar este medicamento. Leia esta bula com cautela. Se você tiver alguma dúvida, fale com seu médico. \n\nRecomenda-se ingerir o medicamento nas refeições, embora ele continue eficaz mesmo que você o tome em outros horários. \n\nContinue tomando este medicamento até o fim do tratamento prescrito pelo médico. Não pare somente porque se sente melhor. \n\n**As cápsulas devem ser ingeridas inteiras com água. Não as mastigue.** \n\n## **Posologia** \n\nAtenção! Para algumas doses indicadas abaixo (doses inferiores a 500 mg) é necessário o uso da suspensão oral, converse com seu médico ou farmacêutico em caso de dúvida. \n\n## **Dose para adultos e crianças acima de 40 kg** \n\n- Dose padrão: 500 mg (uma cápsula) três vezes ao dia (de 8 em 8 horas) nas infecções mais graves. \n\n- Tratamento com dosagem alta (máximo recomendável de 6 g ao dia em doses divididas): recomenda-se uma dose de 3 g (seis cápsulas) duas vezes ao dia (de 12 em 12 horas) em casos que requerem tratamento de infecção respiratória purulenta (com a presença de pus) grave ou recorrente. \n\n## **- Tratamento de curta duração (gonorreia): dose única de 3 g.**"", ""7. O QUE DEVO FAZER QUANDO EU ME ESQUECER DE USAR ESTE MEDICAMENTO?** \n\nSe você esquecer uma dose, tome-a assim que se lembrar, mas continue com o horário normal das demais. Só não tome duas doses com intervalo igual ou menor que 1 hora. \n\n**Em caso de dúvidas, procure orientação do farmacêutico ou de seu médico, ou cirurgião-dentista.** \n\n## **""]",5.358,3.383
fusion_rag,ollama:medgemma:4b,AMOXIL,Amoxil pode causar diarreia?,facil,"Sim. Diarreia é uma reação comum, ocorrendo entre 1% e 10% dos pacientes que utilizam Amoxil.",QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: ""8. QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?** 

- Diarreia (várias evacuações amolecidas por dia) e enjoo; quando isso acontece, os sintomas normalmente são leves e com frequência podem ser evitados tomando-se o medicamento no início das refeições. Se continuarem ou se tornarem graves, consulte o médico.""

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: ""8. QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?** 

- Diarreia (várias evacuações amolecidas por dia) e enjoo; quando isso acontece, os sintomas normalmente são leves e com frequência podem ser evitados tomando-se o medicamento no início das refeições. Se continuarem ou se tornarem graves, consulte o médico.""",QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,,"[""8. QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?** \n\nAvise seu médico o mais cedo possível se você não se sentir bem durante o tratamento com **Amoxil[®]** . Assim como todo medicamento, **Amoxil[®]** pode provocar reações adversas, porém isso não ocorre com todas as pessoas. Os efeitos colaterais deste medicamento geralmente são leves. \n\n## **Reações comuns (ocorrem entre 1% e 10% dos pacientes que utilizam este medicamento):** \n\n- Diarreia (várias evacuações amolecidas por dia) e enjoo; quando isso acontece, os sintomas normalmente são leves e com frequência podem ser evitados tomando-se o medicamento no início das refeições. Se continuarem ou se tornarem graves, consulte o médico. \n\n- Erupções da pele. \n\n## **Reações incomuns (ocorrem entre 0,1% e 1% dos pacientes que utilizam este medicamento):** \n\n- Vômito, urticária e coceira. \n\n## **Reações muito raras (ocorrem em menos de 0,01% dos pacientes que utilizam este medicamento):** \n\n- Diminuição de glóbulos brancos (leucopenia reversível), que pode resultar em infecções frequentes, como febre, calafrios, inflamação da garganta ou úlceras na boca; \n\n- Baixa contagem de plaquetas (trombocitopenia reversível), que pode resultar em sangramento ou hematomas (manchas roxas) que surgem com mais facilidade que o normal; \n\n- Destruição de glóbulos vermelhos e consequentemente anemia (anemia hemolítica), que pode resultar em cansaço, dores de cabeça e falta de ar causada pela prática de exercícios físicos, vertigem, palidez e amarelamento da pele e/ou dos olhos;"", ""- Destruição de glóbulos vermelhos e consequentemente anemia (anemia hemolítica), que pode resultar em cansaço, dores de cabeça e falta de ar causada pela prática de exercícios físicos, vertigem, palidez e amarelamento da pele e/ou dos olhos; \n\n- Sinais repentinos de alergia, como erupções da pele, prurido (coceira) ou urticária, inchaço da face, dos lábios, da língua ou de outras partes do corpo, falta de ar, respiração ofegante ou problemas para respirar; se esses sintomas ocorrerem, pare de usar **Amoxil[®]** e procure socorro médico o mais rápido possível; \n\n4 \n\n**==> picture [87 x 28] intentionally omitted <==**\n\n## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas \n\n- Dor no peito, que pode ser um sinal de uma reação alérgica potencialmente grave chamada síndrome de Kounis; \n\n- Vômitos repetitivos (1 a 4 horas após a administração de **Amoxil[®]** ), dores no estômago, sonolência anormal, diarreia e pressão baixa, que podem ser um sinal de uma reação alérgica grave denominada síndrome de enterocolite induzida por medicamentos; \n\n- Convulsões (ataques) podem ocorrer em pacientes com função renal prejudicada ou que estejam recebendo doses altas do medicamento; \n\n- Hipercinesia (presença de movimentos exacerbados e incontrolados), tontura; \n\n- Candidíase mucocutânea, infecção micótica (causada por fungos) que normalmente afeta as partes íntimas ou a boca; na área genital, pode provocar coceira e queimação (com a presença de uma fina camada de secreção branca), e na boca ou na língua podem surgir pintas brancas dolorosas;"", ""**Informe ao seu médico, cirurgião-dentista ou farmacêutico o aparecimento de reações indesejáveis pelo uso do medicamento. Informe também à empresa através do seu serviço de atendimento.** \n\n## **9. O QUE FAZER SE ALGUÉM USAR UMA QUANTIDADE MAIOR QUE A INDICADA DESTE MEDICAMENTO?** \n\nÉ pouco provável que ocorram problemas graves em caso de superdosagem de amoxicilina. As reações mais comuns são enjoo, vômito e diarreia. Procure seu médico para que os sintomas sejam tratados. \n\n**Em caso de uso de grande quantidade deste medicamento, procure rapidamente socorro médico e leve a embalagem ou bula do medicamento se possível. Ligue para 0800 722 6001, se você precisar de mais orientações.** \n\n## **III) DIZERES LEGAIS** \n\nRegistro: 1.0107.0003 \n\nProduzido por: Glaxo Wellcome Production Zone Industrielle de la Peyennière, 53100, Mayenne – França. \n\n5 \n\n**==> picture [87 x 28] intentionally omitted <==**\n\n## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas \n\nImportado e Registrado por: **GlaxoSmithKline Brasil Ltda.** Estrada dos Bandeirantes, 8464 - Rio de Janeiro - RJ CNPJ: 33.247.743/0001-10 \n\n## **VENDA SOB PRESCRIÇÃO COM RETENÇÃO DA RECEITA** \n\nL1991_amoxil_cap_gel_dura_GDS35_IPI16 \n\n**==> picture [43 x 43] intentionally omitted <==**\n\n**==> picture [50 x 41] intentionally omitted <==**\n\n6 \n\n## **"", ""- Candidíase mucocutânea, infecção micótica (causada por fungos) que normalmente afeta as partes íntimas ou a boca; na área genital, pode provocar coceira e queimação (com a presença de uma fina camada de secreção branca), e na boca ou na língua podem surgir pintas brancas dolorosas; \n\n- Colite associada a antibióticos (inflamação no cólon (intestino grosso), causando diarreia grave, que também pode conter sangue e ser acompanhada de cólicas abdominais; \n\n- Sua língua pode mudar de cor, ficando amarela, marrom ou preta, e dar a impressão de ter pelos (língua pilosa negra); \n\n- Inflamação da membrana que reveste o cérebro (meningite asséptica); \n\n- Erupção cutânea com bolhas dispostas em círculo com crosta central ou como um colar de pérolas (doença IgA linear); - Efeitos relacionados ao fígado; esses sintomas podem manifestar-se como enjoo, vômito, perda de apetite, sensação geral de mal-estar, febre, coceira, amarelamento da pele e dos olhos e escurecimento da urina e aumento de algumas substâncias (enzimas) produzidas pelo fígado;"", ""- Reações cutâneas graves: erupção cutânea (eritema multiforme), que pode formar bolhas (com pequenas manchas escuras centrais rodeadas por uma área pálida, com um anel escuro ao redor da borda); erupção cutânea generalizada com bolhas e descamação da pele na maior parte da superfície corporal (necrólise epidérmica tóxica); erupções na pele com bolhas e descamação, especialmente ao redor da boca, nariz, olhos e genitais (síndrome de Stevens-Johnson); erupções na pele com bolhas contendo pus (dermatite esfoliativa bolhosa); erupções escamosas na pele, com bolhas e inchaços sob a pele (exantema pustuloso); \n\n- Doença renal (problemas para urinar, possivelmente com dor e presença de sangue ou cristais na urina); \n\n- Sintomas semelhantes aos da gripe com erupção cutânea, febre, glândulas inchadas e resultados anormais de exames de sangue (incluindo o aumento dos glóbulos brancos (eosinofilia) e enzimas hepáticas) (Reação do medicamento com eosinofilia e sintomas sistêmicos (DRESS)); \n\n- uma erupção cutânea vermelha comumente observada em ambos os lados das nádegas, parte interna superior das coxas, axilas, pescoço (Exantema Intertriginoso e Flexural Simétrico Relacionado a Medicamentos (SDRIFE)). \n\n**Se qualquer desconforto incomum se manifestar enquanto você estiver tomando o medicamento, informe seu médico o mais breve possível.** \n\n**Informe ao seu médico, cirurgião-dentista ou farmacêutico o aparecimento de reações indesejáveis pelo uso do medicamento. Informe também à empresa através do seu serviço de atendimento.**""]",6.096,4.41
fusion_rag,ollama:medgemma:4b,AMOXIL,Como devo guardar as cápsulas de Amoxil?,facil,"As cápsulas de Amoxil devem ser conservadas na embalagem original, protegidas da umidade e em temperatura ambiente, entre 15 °C e 30 °C. Todo medicamento deve ser mantido fora do alcance das crianças.","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?","De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: ""Conservar as cápsulas na embalagem original, protegido da umidade e em temperatura ambiente (entre 15[o] C e 30[o] C). Guarde-o em sua embalagem original.""

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","De acordo com a bula do medicamento AMOXIL, consta a seguinte informação: ""Conservar as cápsulas na embalagem original, protegido da umidade e em temperatura ambiente (entre 15[o] C e 30[o] C). Guarde-o em sua embalagem original.""","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?",,"[""5. ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO? Cuidados de armazenamento** \n\n2 \n\n**==> picture [87 x 28] intentionally omitted <==**\n\n## Modelo de Texto de Bula – Pacientes Amoxil[®] Cápsulas \n\n## **Manter fora do alcance de crianças** \n\nConservar as cápsulas na embalagem original, protegido da umidade e em temperatura ambiente (entre 15[o] C e 30[o] C). \n\n## **Número de lote e datas de fabricação e validade: vide embalagem. Não use medicamento com o prazo de validade vencido. Guarde-o em sua embalagem original.** \n\n## **Aspecto físico/características organolépticas** \n\nCápsulas de 500 mg de duas cores (corpo amarelo opaco e tampa vermelho opaco) impressa com GS JVL e contendo um pó branco a quase branco. \n\n**Antes de usar, observe o aspecto do medicamento. Caso ele esteja no prazo de validade e você observe alguma mudança no aspecto, consulte o farmacêutico para saber se poderá utilizá-lo. Todo medicamento deve ser mantido fora do alcance das crianças.** \n\n## **""]",2.609,3.264
fusion_rag,ollama:medgemma:4b,RIVOTRIL,Para que serve o Rivotril?,facil,"Rivotril é indicado para tratar crises epilépticas e espasmos infantis, também chamados síndrome de West. Em adultos, também é indicado para transtornos de ansiedade, transtornos do humor, síndromes psicóticas, síndrome das pernas inquietas, vertigem e distúrbios do equilíbrio e síndrome da boca ardente.",PARA QUE ESTE MEDICAMENTO É INDICADO?,"De acordo com a bula do medicamento RIVOTRIL, consta a seguinte informação: ""Rivotril[® ] é indicado para tratar crises epilépticas e espasmos infantis (síndrome de West). Adulto e pediátrico Distúrbio epiléptico""

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","De acordo com a bula do medicamento RIVOTRIL, consta a seguinte informação: ""Rivotril[® ] é indicado para tratar crises epilépticas e espasmos infantis (síndrome de West). Adulto e pediátrico Distúrbio epiléptico""","PARA QUE ESTE MEDICAMENTO É INDICADO?, COMO ESTE MEDICAMENTO FUNCIONA?",,"[""1. PARA QUE ESTE MEDICAMENTO É INDICADO? Adulto e pediátrico Distúrbio epiléptico** \n\n**Rivotril[® ]** é indicado para tratar crises epilépticas e espasmos infantis (síndrome de West). \n\n## **Adulto** \n\n**Rivotril[® ]** também é indicado para: \n\n## **Transtornos de ansiedade** \n\n- Como ansiolítico em geral. \n\n- Distúrbio do pânico com ou sem medo de espaços abertos. \n\n- Fobia social (medo de situações como falar em público). \n\n## **Transtornos do humor** \n\n- Transtorno afetivo bipolar (fases de depressão e mania): tratamento da mania. \n\n- Depressão maior: associado à antidepressivos na depressão ansiosa e início do tratamento. \n\n## **Síndromes psicóticas** \n\n Acatisia (inquietação extrema, geralmente provocada por medicamentos psiquiátricos). **Síndrome das pernas inquietas (desconforto ou dor nas pernas que leva à necessidade de movimentá-las, prejudicando o sono).** \n\n**Vertigem e distúrbios do equilíbrio:** náuseas, vômitos, desmaios, quedas, zumbidos e distúrbios auditivos. **Síndrome da boca ardente (sensação de queimação na parte interna da boca, sem alterações   físicas).** \n\n**"", ""2. COMO ESTE MEDICAMENTO FUNCIONA?** Clonazepam pertence à classe dos benzodiazepínicos, medicamentos que causam inibição leve do sistema nervoso, com consequente ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante. \n\nA ação de **Rivotril[® ]** oral dose única inicia em 30 a 60 minutos e se estende por 6 à 8 h em crianças e 8 a 12 h em adultos. \n\n1 \n\n**==> picture [109 x 35] intentionally omitted <==**\n\n## **""]",3.665,3.179
fusion_rag,ollama:medgemma:4b,RIVOTRIL,Como o Rivotril age no organismo?,facil,"O clonazepam pertence à classe dos benzodiazepínicos, medicamentos que causam inibição leve do sistema nervoso, com ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante.",COMO ESTE MEDICAMENTO FUNCIONA?,"De acordo com a bula do medicamento RIVOTRIL, consta a seguinte informação: Clonazepam pertence à classe dos benzodiazepínicos, medicamentos que causam inibição leve do sistema nervoso, com consequente ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante. A ação de Rivotril[® ] oral dose única inicia em 30 a 60 minutos e se estende por 6 à 8 h em crianças e 8 a 12 h em adultos.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","De acordo com a bula do medicamento RIVOTRIL, consta a seguinte informação: Clonazepam pertence à classe dos benzodiazepínicos, medicamentos que causam inibição leve do sistema nervoso, com consequente ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante. A ação de Rivotril[® ] oral dose única inicia em 30 a 60 minutos e se estende por 6 à 8 h em crianças e 8 a 12 h em adultos.",COMO ESTE MEDICAMENTO FUNCIONA?,,"[""2. COMO ESTE MEDICAMENTO FUNCIONA?** Clonazepam pertence à classe dos benzodiazepínicos, medicamentos que causam inibição leve do sistema nervoso, com consequente ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante. \n\nA ação de **Rivotril[® ]** oral dose única inicia em 30 a 60 minutos e se estende por 6 à 8 h em crianças e 8 a 12 h em adultos. \n\n1 \n\n**==> picture [109 x 35] intentionally omitted <==**\n\n## **""]",2.259,4.166
