pipeline,modelo,nome_remedio,pergunta,dificuldade,resposta_esperada,secoes_esperadas,resposta_gerada,resposta_crua,secoes_recuperadas,chunk_ids_recuperados,textos_recuperados,tempo_recuperacao_segundos,tempo_inferencia_segundos,guarded_planner_primary,guarded_planner_secondary,guarded_planner_safety,guarded_expanded_sections,guarded_confidence,guarded_fallback_triggered,guarded_debug_trace
fusion_rag,ollama:mediphi-instruct,AMOXIL,Para que serve o Amoxil?,facil,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,PARA QUE ESTE MEDICAMENTO É INDICADO?,"Na bula consultada de AMOXIL, não constam informações sobre para quê ele é utilizado ou seu uso principal.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de AMOXIL, não constam informações sobre para quê ele é utilizado ou seu uso principal.",,,[],2.767,1.203,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,Quando não devo usar Amoxil?,facil,"Amoxil não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se o paciente já teve reação alérgica, como erupções na pele, ao tomar antibiótico, deve conversar com o médico antes de usar Amoxil.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada de AMOXIL, não constam informações sobre quando você deve evitar o uso do medicamento.""

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de AMOXIL, não constam informações sobre quando você deve evitar o uso do medicamento.""",,,[],3.011,0.954,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,"Na apresentação cápsulas, qual é a dose padrão de Amoxil para adultos e crianças acima de 40 kg?",facil,"Na apresentação cápsulas, para adultos e crianças acima de 40 kg, a dose padrão é 500 mg, equivalente a uma cápsula, três vezes ao dia, de 8 em 8 horas, nas infecções mais graves.",COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada de AMOXIL, não constam informações sobre essa pergunta.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de AMOXIL, não constam informações sobre essa pergunta.",,,[],4.176,0.755,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,Amoxil pode causar diarreia?,facil,"Sim. Diarreia é uma reação comum, ocorrendo entre 1% e 10% dos pacientes que utilizam Amoxil.",QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"Na bula consultada de AMOXIL, não constam informações sobre se o medicamento causa ou provoca a diarreia.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de AMOXIL, não constam informações sobre se o medicamento causa ou provoca a diarreia.",,,[],2.454,1.17,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,Como devo guardar as cápsulas de Amoxil?,facil,"As cápsulas de Amoxil devem ser conservadas na embalagem original, protegidas da umidade e em temperatura ambiente, entre 15 °C e 30 °C. Todo medicamento deve ser mantido fora do alcance das crianças.","ONDE, COMO E POR QUANTO TEMPO POSSO GUARDAR ESTE MEDICAMENTO?","Na bula consultada do AMOXIL, não constam informações sobre como armazenar o medicamento corretamente.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada do AMOXIL, não constam informações sobre como armazenar o medicamento corretamente.",,,[],1.614,1.067,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,Para que serve o Rivotril?,facil,"Rivotril é indicado para tratar crises epilépticas e espasmos infantis, também chamados síndrome de West. Em adultos, também é indicado para transtornos de ansiedade, transtornos do humor, síndromes psicóticas, síndrome das pernas inquietas, vertigem e distúrbios do equilíbrio e síndrome da boca ardente.",PARA QUE ESTE MEDICAMENTO É INDICADO?,"Na bula consultada de RIVOTRIL, não constam informações sobre para qual finalidade ele é utilizado ou seu uso principal.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de RIVOTRIL, não constam informações sobre para qual finalidade ele é utilizado ou seu uso principal.",,,[],1.856,1.051,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,Como o Rivotril age no organismo?,facil,"O clonazepam pertence à classe dos benzodiazepínicos, medicamentos que causam inibição leve do sistema nervoso, com ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante.",COMO ESTE MEDICAMENTO FUNCIONA?,"Na bula consultada de RIVOTRIL, não constam informações sobre como ele atua ou seu mecanismo de ação dentro do corpo.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de RIVOTRIL, não constam informações sobre como ele atua ou seu mecanismo de ação dentro do corpo.",,,[],1.874,1.012,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,Quem não deve usar o Rivotril?,facil,"Rivotril é contraindicado para pacientes com hipersensibilidade conhecida ao clonazepam ou a qualquer excipiente, insuficiência respiratória grave, comprometimento grave do fígado ou glaucoma agudo de ângulo fechado. Rivotril comprimidos e gotas também são contraindicados para tratamento de transtornos do pânico em pacientes com histórico de apneia do sono.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada de RIVOTRIL, não constam informações sobre quaisquer contraindicações ou grupos específicos que devem evitar este medicamento.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de RIVOTRIL, não constam informações sobre quaisquer contraindicações ou grupos específicos que devem evitar este medicamento.",,,[],1.936,1.23,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,Qual é a dose inicial recomendada de Rivotril para distúrbio do pânico em adultos?,facil,"Para distúrbio do pânico em adultos, a dose inicial recomendada é 0,5 mg por dia, dividida em duas doses.",COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada de RIVOTRIL, não constam informações sobre o início da dosagem.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de RIVOTRIL, não constam informações sobre o início da dosagem.",,,[],13.768,0.851,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,Rivotril pode causar sonolência?,facil,Sim. Sonolência foi uma das reações que ocorreram em 5% ou mais dos pacientes em estudos clínicos.,QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"Na bula consultada de RIVOTRIL, não constam informações sobre o efeito do medicamento na somnolência ou qualquer outro impacto no sono. Portanto, a resposta é que as evidências fornecidas são insuficientes para determinar se este remédio pode causar sonolência com base nas informações disponíleses em RIVOTRIL bula consultada.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de RIVOTRIL, não constam informações sobre o efeito do medicamento na somnolência ou qualquer outro impacto no sono. Portanto, a resposta é que as evidências fornecidas são insuficientes para determinar se este remédio pode causar sonolência com base nas informações disponíleses em RIVOTRIL bula consultada.",,,[],6.078,2.654,,,,,,False,{}
