question_id,status,source_dataset_row,medicine,difficulty,question,notes
q010,partial_match,faceis_revisadas.csv:10,RIVOTRIL,facil,Rivotril pode causar sonolência?,Nem todas as seções esperadas foram cobertas: adverse_reaction
q021,partial_match,medias_revisadas.csv:6,RIVOTRIL,medio,"Em crianças com distúrbios epilépticos, como a faixa etária ou peso altera a dose inicial de Rivotril e que cuidado respiratório deve ser observado em lactentes e crianças pequenas?",Nem todas as seções esperadas foram cobertas: warning_precaution
q022,partial_match,medias_revisadas.csv:7,RIVOTRIL,medio,"Por que pacientes idosos devem usar a menor dose possível de Rivotril, segundo a bula?",Nem todas as seções esperadas foram cobertas: warning_precaution
q024,partial_match,medias_revisadas.csv:9,RIVOTRIL,medio,Quais são as recomendações da bula sobre o uso de Rivotril com álcool e com suco de toranja?,Nem todas as seções esperadas foram cobertas: warning_precaution
q025,partial_match,medias_revisadas.csv:10,RIVOTRIL,medio,Como a orientação para não interromper Rivotril subitamente se relaciona com o risco de abstinência e novas crises epilépticas descrito na bula?,Nem todas as seções esperadas foram cobertas: warning_precaution
q026,partial_match,medias_revisadas.csv:11,TYLENOL,medio,Como a indicação por idade de TYLENOL se relaciona com a contraindicação para menores de 12 anos e com a posologia descrita na bula?,Nem todas as seções esperadas foram cobertas: identification
q036,partial_match,dificeis_revisadas.csv:6,RIVOTRIL,dificil,"Em um paciente idoso com comprometimento hepático leve a moderado que também usa depressores do sistema nervoso central, quais riscos e ajustes a bula exige considerar antes de iniciar Rivotril?",Nem todas as seções esperadas foram cobertas: warning_precaution
q037,partial_match,dificeis_revisadas.csv:7,RIVOTRIL,dificil,"Um paciente com epilepsia em uso de Rivotril deseja interromper o tratamento subitamente. Quais riscos a bula descreve envolvendo estado de mal epiléptico, dependência e abstinência, e qual deve ser a estratégia de retirada?",Nem todas as seções esperadas foram cobertas: warning_precaution
q038,partial_match,dificeis_revisadas.csv:8,RIVOTRIL,dificil,"Por que a bula contraindica Rivotril para tratamento de transtorno do pânico em pacientes com histórico de apneia do sono, quando se consideram seus efeitos no sistema nervoso e no sistema respiratório?","Nem todas as seções esperadas foram cobertas: warning_precaution, adverse_reaction"
q039,partial_match,dificeis_revisadas.csv:9,RIVOTRIL,dificil,"Se um paciente em uso de Rivotril consome suco de toranja e também utiliza medicamentos que agem no sistema nervoso, que efeitos potencializados a bula permite prever e quais limites de informação devem ser reconhecidos?",Nem todas as seções esperadas foram cobertas: warning_precaution
q040,partial_match,dificeis_revisadas.csv:10,RIVOTRIL,dificil,"Quais precauções devem ser adotadas antes de iniciar Rivotril em pacientes com depressão, tentativa de suicídio prévia ou risco de alterações comportamentais, e quais eventos psiquiátricos da bula fundamentam essa cautela?","Nem todas as seções esperadas foram cobertas: warning_precaution, adverse_reaction"
q043,partial_match,dificeis_revisadas.csv:13,TYLENOL,dificil,"Ao avaliar TYLENOL para um adolescente de 11 anos e para um paciente idoso, o que a bula permite concluir sobre contraindicação, faixa etária de uso e necessidade de ajuste de dose, e quais limites ela não explica?",Nem todas as seções esperadas foram cobertas: identification
