question_id,source_dataset_row,medicine,difficulty,question,expected_answer,status,n_gold_chunks,n_essential_gold_chunks,n_supporting_gold_chunks,primary_gold_chunk_id,essential_gold_chunk_ids,all_relevant_gold_chunk_ids,match_confidences,notes
q001,faceis_revisadas.csv:1,AMOXIL,facil,Para que serve o Amoxil?,Amoxil é um antibiótico indicado para o tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.,matched,4,2,2,chunk_29c1314f7e21,chunk_29c1314f7e21|chunk_4cbe37a723e5,chunk_29c1314f7e21|chunk_4cbe37a723e5|chunk_622fb4d46c7e|chunk_7d57d737a19d,high|high|medium|low,
q002,faceis_revisadas.csv:2,AMOXIL,facil,Quando não devo usar Amoxil?,"Amoxil não deve ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou a antibióticos similares chamados cefalosporinas. Se o paciente já teve reação alérgica, como erupções na pele, ao tomar antibiótico, deve conversar com o médico antes de usar Amoxil.",matched,4,2,2,chunk_622fb4d46c7e,chunk_622fb4d46c7e|chunk_9d394eb70d17,chunk_622fb4d46c7e|chunk_9d394eb70d17|chunk_d22f44452468|chunk_7d57d737a19d,high|high|high|high,
q003,faceis_revisadas.csv:3,AMOXIL,facil,"Na apresentação cápsulas, qual é a dose padrão de Amoxil para adultos e crianças acima de 40 kg?","Na apresentação cápsulas, para adultos e crianças acima de 40 kg, a dose padrão é 500 mg, equivalente a uma cápsula, três vezes ao dia, de 8 em 8 horas, nas infecções mais graves.",matched,4,2,2,chunk_9d0ab2325c26,chunk_9d0ab2325c26|chunk_c0033b15fe08,chunk_9d0ab2325c26|chunk_c0033b15fe08|chunk_05bc48672ff1|chunk_920654c7064a,high|high|high|high,
q004,faceis_revisadas.csv:4,AMOXIL,facil,Amoxil pode causar diarreia?,"Sim. Diarreia é uma reação comum, ocorrendo entre 1% e 10% dos pacientes que utilizam Amoxil.",matched,4,2,2,chunk_2273c1b76ec0,chunk_2273c1b76ec0|chunk_cf81874efa63,chunk_2273c1b76ec0|chunk_cf81874efa63|chunk_1ddf28119f88|chunk_dc0a772ae1a8,high|high|high|high,
q005,faceis_revisadas.csv:5,AMOXIL,facil,Como devo guardar as cápsulas de Amoxil?,"As cápsulas de Amoxil devem ser conservadas na embalagem original, protegidas da umidade e em temperatura ambiente, entre 15 °C e 30 °C. Todo medicamento deve ser mantido fora do alcance das crianças.",matched,4,2,2,chunk_23a1a45ccf28,chunk_23a1a45ccf28|chunk_6a5892989281,chunk_23a1a45ccf28|chunk_6a5892989281|chunk_381105994f64|chunk_920654c7064a,high|high|high|medium,
q006,faceis_revisadas.csv:6,RIVOTRIL,facil,Para que serve o Rivotril?,"Rivotril é indicado para tratar crises epilépticas e espasmos infantis, também chamados síndrome de West. Em adultos, também é indicado para transtornos de ansiedade, transtornos do humor, síndromes psicóticas, síndrome das pernas inquietas, vertigem e distúrbios do equilíbrio e síndrome da boca ardente.",matched,5,3,2,chunk_3fede5899876,chunk_3fede5899876|chunk_1f2c88d1dcdf|chunk_b5f77dec1fb9,chunk_3fede5899876|chunk_1f2c88d1dcdf|chunk_b5f77dec1fb9|chunk_3eb1bfdbfd3a|chunk_4d9019d9d6fe,high|high|high|high|high,
q007,faceis_revisadas.csv:7,RIVOTRIL,facil,Como o Rivotril age no organismo?,"O clonazepam pertence à classe dos benzodiazepínicos, medicamentos que causam inibição leve do sistema nervoso, com ação anticonvulsivante, sedativa leve, relaxante muscular e tranquilizante.",matched,5,3,2,chunk_4569774ff1a4,chunk_4569774ff1a4|chunk_d111e9aa94c7|chunk_decd403656d2,chunk_4569774ff1a4|chunk_d111e9aa94c7|chunk_decd403656d2|chunk_d1e77a6a6e34|chunk_3e429871e6b5,high|high|high|high|high,
q008,faceis_revisadas.csv:8,RIVOTRIL,facil,Quem não deve usar o Rivotril?,"Rivotril é contraindicado para pacientes com hipersensibilidade conhecida ao clonazepam ou a qualquer excipiente, insuficiência respiratória grave, comprometimento grave do fígado ou glaucoma agudo de ângulo fechado. Rivotril comprimidos e gotas também são contraindicados para tratamento de transtornos do pânico em pacientes com histórico de apneia do sono.",matched,5,3,2,chunk_5e3d4ac1c930,chunk_5e3d4ac1c930|chunk_551b8de262e2|chunk_6c577f16cf9f,chunk_5e3d4ac1c930|chunk_551b8de262e2|chunk_6c577f16cf9f|chunk_138608289ce9|chunk_4ff062e5e2e2,high|high|high|high|high,
q009,faceis_revisadas.csv:9,RIVOTRIL,facil,Qual é a dose inicial recomendada de Rivotril para distúrbio do pânico em adultos?,"Para distúrbio do pânico em adultos, a dose inicial recomendada é 0,5 mg por dia, dividida em duas doses.",matched,4,2,2,chunk_a942103ead0f,chunk_a942103ead0f|chunk_4d9019d9d6fe,chunk_a942103ead0f|chunk_4d9019d9d6fe|chunk_140011e11d9c|chunk_78815ccfea71,high|high|high|high,
q010,faceis_revisadas.csv:10,RIVOTRIL,facil,Rivotril pode causar sonolência?,Sim. Sonolência foi uma das reações que ocorreram em 5% ou mais dos pacientes em estudos clínicos.,partial_match,3,1,2,chunk_6fd00831c65b,chunk_6fd00831c65b,chunk_6fd00831c65b|chunk_a2180c9f13ba|chunk_063f6288233c,high|high|medium,Nem todas as seções esperadas foram cobertas: adverse_reaction
q011,faceis_revisadas.csv:11,TYLENOL,facil,Para que serve o TYLENOL?,"TYLENOL é indicado para redução da febre e para o alívio temporário de dores leves a moderadas, como dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e cólicas menstruais.",matched,3,1,2,chunk_a508cae3796b,chunk_a508cae3796b,chunk_a508cae3796b|chunk_97251e7ccd85|chunk_983a58909e27,high|high|low,
q012,faceis_revisadas.csv:12,TYLENOL,facil,Em quanto tempo o TYLENOL começa a fazer efeito?,O efeito de TYLENOL começa 15 a 30 minutos após a administração oral e permanece por 4 a 6 horas.,matched,3,1,2,chunk_578c6a49ac86,chunk_578c6a49ac86,chunk_578c6a49ac86|chunk_d4d5a2d20ab2|chunk_983a58909e27,high|high|medium,
q013,faceis_revisadas.csv:13,TYLENOL,facil,Como devo conservar TYLENOL?,"TYLENOL deve ser conservado em temperatura ambiente, entre 15 °C e 30 °C, protegido da luz e da umidade. O medicamento deve ser guardado em sua embalagem original e mantido fora do alcance das crianças.",matched,3,1,2,chunk_bd0ae4006d5f,chunk_bd0ae4006d5f,chunk_bd0ae4006d5f|chunk_983a58909e27|chunk_3c190b3ea9f8,high|medium|medium,
q014,faceis_revisadas.csv:14,TYLENOL,facil,Qual é a dose indicada de TYLENOL 500 mg para adultos e crianças acima de 12 anos?,"Para adultos e crianças acima de 12 anos, a dose de TYLENOL 500 mg é de 1 a 2 comprimidos, 3 a 4 vezes ao dia.",matched,3,1,2,chunk_d4d5a2d20ab2,chunk_d4d5a2d20ab2,chunk_d4d5a2d20ab2|chunk_983a58909e27|chunk_3c190b3ea9f8,high|high|high,
