nome_remedio,nivel,pergunta,resposta_esperada,secoes_esperadas
AMOXIL,dificil,"Em um paciente que usa varfarina e apresenta insuficiência renal moderada, quais cuidados a bula orienta quanto ao anticoagulante e como a posologia de Amoxil deve ser ajustada? Explique a relação entre eliminação renal e necessidade de ajuste.","A bula orienta informar o médico sobre o uso de anticoagulantes como varfarina; o médico fará monitoramento e, se necessário, poderá ajustar a dose dos anticoagulantes. Em insuficiência renal moderada, a dose máxima para adultos e crianças acima de 40 kg é 500 mg duas vezes ao dia, de 12 em 12 horas, porque na insuficiência renal a eliminação do antibiótico é mais lenta e a dose diária total pode precisar ser reduzida.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,dificil,"Em pacientes com insuficiência renal grave submetidos a diálise peritoneal ou hemodiálise, como a bula diferencia o manejo posológico de Amoxil e qual é a justificativa relacionada à remoção da amoxicilina?","Para diálise peritoneal, usa-se a mesma posologia indicada para insuficiência renal grave, e a bula informa que a diálise peritoneal não remove a amoxicilina do corpo. Para hemodiálise, também se usa a posologia de insuficiência renal grave, mas a amoxicilina é removida do sangue por hemodiálise; por isso, uma dose adicional de 500 mg para adultos e crianças acima de 40 kg, ou 15 mg/kg para crianças abaixo de 40 kg, pode ser administrada durante e ao final de cada diálise.",COMO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,dificil,"Ao escolher entre cápsulas e suspensão oral de Amoxil para um paciente com fenilcetonúria e histórico de reações alérgicas, quais componentes da formulação exigem cautela e como esses alertas diferem entre as apresentações?","Na suspensão oral, a bula informa que há aspartamo, fonte de fenilalanina, devendo ser usado com cautela em pacientes com fenilcetonúria; também informa que contém benzoato de sódio, que pode causar reações alérgicas, como asma, especialmente em pessoas alérgicas ao ácido acetilsalicílico. Nas cápsulas, a bula alerta para corantes como vermelho de eritrosina, azul de indigotina, dióxido de titânio e óxido de ferro amarelo, que podem eventualmente causar reações alérgicas. Assim, a avaliação depende da apresentação e do tipo de risco do paciente.",IDENTIFICAÇÃO DO MEDICAMENTO / COMPOSIÇÃO / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?
AMOXIL,dificil,"Durante o uso de Amoxil, um paciente apresenta diarreia grave com sangue e cólicas abdominais, além de erupção cutânea com bolhas. Que eventos graves descritos na bula devem ser considerados e qual conduta a bula orienta diante de sinais alérgicos importantes?","A diarreia grave, possivelmente com sangue e acompanhada de cólicas, é compatível com colite associada a antibióticos descrita na bula. A erupção cutânea com bolhas pode corresponder a reações cutâneas graves, como eritema multiforme, necrólise epidérmica tóxica, síndrome de Stevens-Johnson, dermatite esfoliativa bolhosa, exantema pustuloso, doença IgA linear, DRESS ou SDRIFE. A bula alerta que Amoxil pode causar reações alérgicas severas e reações cutâneas severas; diante de sinais repentinos de alergia, como erupção, coceira, urticária, inchaço da face/lábios/língua, falta de ar ou problemas para respirar, o paciente deve parar de usar Amoxil e procurar socorro médico o mais rápido possível.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
AMOXIL,dificil,"Compare os esquemas de Amoxil para infecção grave em adultos, infecção respiratória purulenta grave ou recorrente, gonorreia e erradicação de Helicobacter pylori, destacando quando a bula exige associação com outros medicamentos.","Para adultos e crianças acima de 40 kg, a dose padrão em infecções mais graves é 500 mg três vezes ao dia, de 8 em 8 horas. Para infecção respiratória purulenta grave ou recorrente, a bula recomenda dose alta de 3 g duas vezes ao dia, de 12 em 12 horas, respeitando o máximo recomendável de 6 g ao dia em doses divididas. Para gonorreia, a bula descreve dose única de 3 g. Para erradicação de Helicobacter pylori, Amoxil deve ser usado em associação com um inibidor da bomba de prótons, como omeprazol ou lanzoprazol, e outro antimicrobiano, como claritromicina ou metronidazol, por 7 dias.",COMO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,dificil,"Em um paciente idoso com comprometimento hepático leve a moderado que também usa depressores do sistema nervoso central, quais riscos e ajustes a bula exige considerar antes de iniciar Rivotril?","A bula informa que os efeitos dos benzodiazepínicos parecem ser maiores em idosos, mesmo em concentrações plasmáticas similares, e que nesses pacientes deve ser usada a menor dose possível, com cuidado especial durante alterações de dose. Para comprometimento hepático leve a moderado, a bula também recomenda a menor dose possível; em comprometimento hepático grave, Rivotril não deve ser usado. Além disso, não se deve tomar Rivotril com álcool e/ou depressores do sistema nervoso central, pois a combinação pode aumentar seus efeitos, com potencial sedação grave que pode resultar em coma ou morte, depressão cardiovascular e/ou respiratória.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,dificil,"Um paciente com epilepsia em uso de Rivotril deseja interromper o tratamento subitamente. Quais riscos a bula descreve envolvendo estado de mal epiléptico, dependência e abstinência, e qual deve ser a estratégia de retirada?","A bula alerta que Rivotril pode precipitar estado de mal epiléptico e orienta falar com o médico antes de aumentar a dose ou interromper abruptamente a medicação. O uso de benzodiazepínicos pode levar à dependência física e psicológica, com risco maior em doses altas, tratamentos prolongados e história de abuso de álcool ou drogas. A descontinuação brusca pode causar sintomas de abstinência, incluindo psicoses, alterações comportamentais, tremor, sudorese, agitação, distúrbios do sono, ansiedade e convulsões epilépticas. Portanto, a retirada brusca deve ser evitada e o tratamento deve ser interrompido por redução gradativa da dose diária, sob orientação médica.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,dificil,"Por que a bula contraindica Rivotril para tratamento de transtorno do pânico em pacientes com histórico de apneia do sono, quando se consideram seus efeitos no sistema nervoso e no sistema respiratório?","A bula contraindica Rivotril comprimidos e gotas para tratamento de transtornos do pânico em pacientes com histórico de apneia do sono. Ela informa que clonazepam é um benzodiazepínico que causa inibição leve do sistema nervoso, com ação sedativa leve, relaxante muscular e tranquilizante, e também descreve risco de depressão respiratória. Além disso, álcool e depressores do sistema nervoso central podem aumentar os efeitos de Rivotril, com sedação grave, coma ou morte e depressão cardiovascular e/ou respiratória. Assim, usando apenas a bula, a contraindicação se relaciona ao risco de agravar comprometimento respiratório em pacientes com apneia do sono.",COMO ESTE MEDICAMENTO FUNCIONA? / QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
RIVOTRIL,dificil,"Se um paciente em uso de Rivotril consome suco de toranja e também utiliza medicamentos que agem no sistema nervoso, que efeitos potencializados a bula permite prever e quais limites de informação devem ser reconhecidos?","A bula informa que interações com alimentos não foram estabelecidas, mas que o suco de toranja pode aumentar o efeito de Rivotril. Também orienta informar o médico sobre medicamentos que agem no sistema nervoso, como antidepressivos, medicamentos para dormir, alguns analgésicos, antipsicóticos, ansiolíticos e anticonvulsivantes, pois podem interagir com Rivotril. Com álcool ou depressores do sistema nervoso central, a combinação pode aumentar os efeitos, com sedação grave, coma ou morte e depressão cardiovascular e/ou respiratória. A bula não quantifica alteração de concentração plasmática nem descreve mecanismo farmacocinético do suco de toranja; portanto, esses detalhes não podem ser respondidos apenas pela bula.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?
RIVOTRIL,dificil,"Quais precauções devem ser adotadas antes de iniciar Rivotril em pacientes com depressão, tentativa de suicídio prévia ou risco de alterações comportamentais, e quais eventos psiquiátricos da bula fundamentam essa cautela?","Antes de tomar Rivotril, o paciente deve informar o médico se tem ou teve sinais ou sintomas de depressão e/ou tentativa de suicídio. A cautela se fundamenta nos eventos psiquiátricos relatados na bula, como amnésia, alucinações, psicose, tentativa de suicídio, ideias suicidas, distúrbios emocionais e de humor, estado confusional e desorientação. A bula também descreve reações paradoxais como inquietação, agitação, irritabilidade, agressividade, ansiedade, distúrbios do sono, delírio, raiva, pesadelos, alucinações, psicose, hiperatividade e comportamento inapropriado, e informa que depressão pode estar associada à doença de base.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
TYLENOL,dificil,"Como a duração de ação farmacológica de TYLENOL se relaciona com o esquema posológico fracionado recomendado, considerando seu mecanismo de ação e o risco hepatotóxico descritos na bula?","TYLENOL reduz a febre atuando no centro regulador da temperatura no sistema nervoso central e diminui a sensibilidade à dor; seu efeito começa 15 a 30 minutos após a administração oral e permanece por 4 a 6 horas. A posologia recomenda doses fracionadas em intervalos de 4 a 6 horas, sem exceder 1000 mg por dose nem 4000 mg por dia em 24 horas. Essa relação indica que o intervalo acompanha a duração do efeito, enquanto os limites por dose e por dia reduzem o risco de superdose, que a bula associa a danos ao fígado.",COMO ESTE MEDICAMENTO FUNCIONA? / COMO DEVO USAR ESTE MEDICAMENTO? / O QUE FAZER SE ALGUÉM USAR UMA QUANTIDADE MAIOR DO QUE A INDICADA DESTE MEDICAMENTO?
TYLENOL,dificil,"Em um paciente idoso que consome doses abusivas de álcool e tem preocupação com função hepática, quais orientações da bula devem ser integradas antes do uso de TYLENOL?","Para idosos, a bula informa que até o momento não são conhecidas restrições específicas ao uso de TYLENOL e que não há necessidade de ajuste de dose nesse grupo etário. Porém, consumidores de doses abusivas de álcool devem consultar o médico para saber se podem tomar TYLENOL ou qualquer outro analgésico. A bula também orienta pacientes com problemas no fígado a consultar o médico antes de usar o medicamento e alerta que doses excessivas acima das recomendadas podem causar danos ao fígado. Portanto, apesar de não haver ajuste específico por idade, o consumo abusivo de álcool e a preocupação hepática exigem consulta médica e respeito rigoroso à dose recomendada.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO? / O QUE FAZER SE ALGUÉM USAR UMA QUANTIDADE MAIOR DO QUE A INDICADA DESTE MEDICAMENTO?
