nome_remedio,pergunta,resposta_esperada,secoes_esperadas
AMOXIL,Para que serve o Amoxil?,,
AMOXIL,Quando não devo usar este medicamento?,,
AMOXIL,Qual a dose padrão para adultos e crianças acima de 40 kg?,,
AMOXIL,Esse remédio pode causar diarreia?,,
AMOXIL,Como devo guardar este medicamento?,,
RIVOTRIL,Para que serve o Rivotril?,,
RIVOTRIL,Como o Rivotril age no organismo?,,
RIVOTRIL,Quem não deve usar o Rivotril?,,
RIVOTRIL,Qual a dose inicial recomendada de Rivotril para distúrbio do pânico em adultos?,,
RIVOTRIL,Esse medicamento pode causar sonolência?,,
TYLENOL,Para que serve o TYLENOL?,,
TYLENOL,Em quanto tempo o TYLENOL começa a fazer efeito?,,
TYLENOL,Como devo conservar este medicamento?,,
TYLENOL,Qual a dose indicada de TYLENOL 500 mg para adultos e maiores de 12 anos?,,
TYLENOL,Quais reações alérgicas o TYLENOL pode causar?,,
