nome_remedio,nivel,pergunta,resposta_esperada,secoes_esperadas
AMOXIL,medio,Como deve ser ajustada a dose de Amoxil para uma criança de 30 kg com insuficiência renal moderada?,"Para uma criança de 30 kg com insuficiência renal moderada, a bula da suspensão oral orienta 15 mg/kg duas vezes ao dia (de 12 em 12 horas), respeitando o máximo de 500 mg duas vezes ao dia. Para 30 kg, isso corresponde a 450 mg por dose, a cada 12 horas.",COMO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,medio,Por que é recomendável tomar Amoxil no início das refeições em caso de diarreia?,"Porque a diarreia e o enjoo são reações comuns e a bula informa que, quando ocorrem, costumam ser leves e frequentemente podem ser evitados tomando-se o medicamento no início das refeições. Isso é uma medida para reduzir desconfortos gastrointestinais, não uma exigência para manter a eficácia.",COMO DEVO USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?
AMOXIL,medio,A alimentação interfere na ação de Amoxil ou posso tomá-lo durante as refeições?,"A alimentação não interfere na ação de Amoxil. A bula informa que o medicamento pode ser ingerido durante as refeições e também recomenda tomá-lo nas refeições, embora continue eficaz se tomado em outros horários.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,medio,Por que o tratamento de erradicação de Helicobacter pylori com Amoxil exige associação com um inibidor da bomba de prótons e outro antimicrobiano?,"A bula não fornece informações suficientes para explicar o motivo farmacológico da associação. Ela apenas informa que, para erradicação de Helicobacter pylori, Amoxil deve ser usado em esquema de 750 mg a 1 g duas vezes ao dia, associado a um inibidor da bomba de prótons, como omeprazol ou lansoprazol, e a outro agente antimicrobiano, como claritromicina ou metronidazol, por 7 dias.",COMO DEVO USAR ESTE MEDICAMENTO?
AMOXIL,medio,Por que pacientes com fenilcetonúria devem usar Amoxil em suspensão oral com cautela?,"Porque Amoxil suspensão contém aspartamo, que é fonte de fenilalanina. Por isso, a bula orienta uso com cautela em pacientes com fenilcetonúria e pede que o médico seja informado caso o paciente tenha essa doença.",IDENTIFICAÇÃO DO MEDICAMENTO / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?
RIVOTRIL,medio,"Em crianças com epilepsia, qual dose inicial de Rivotril é recomendada e que cuidado específico deve ser observado?","Para distúrbios epilépticos, em recém-nascidos e crianças até 10 anos ou até 30 kg, a dose inicial média é de 0,01 a 0,03 mg/kg/dia, sem exceder 0,05 mg/kg/dia, dividida em 2 ou 3 doses diárias. Para crianças entre 10 e 16 anos, a dose inicial é de 1 a 1,5 mg/dia, dividida em 2 a 3 doses. O cuidado específico é avaliar risco/benefício do uso prolongado em pacientes pediátricos com epilepsia; em lactentes e crianças pequenas, deve-se manter as vias aéreas livres porque Rivotril pode aumentar a salivação e as secreções brônquicas.",COMO DEVO USAR ESTE MEDICAMENTO? / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?
RIVOTRIL,medio,Por que pacientes idosos devem iniciar com a menor dose possível de Rivotril e onde isso está indicado na bula?,"Porque a bula informa que os efeitos dos benzodiazepínicos parecem ser maiores em idosos do que em pacientes mais jovens, mesmo em concentrações plasmáticas similares. Por isso, na posologia, orienta usar a dose mais baixa possível em idosos e ter especial cuidado durante alterações de dose.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,medio,"Em pacientes com comprometimento hepático leve a moderado, qual ajuste de dose deve ser considerado?","Em comprometimento hepático leve a moderado, a bula orienta que o paciente receba a dose mais baixa possível. Já pacientes com comprometimento grave do fígado não devem ser tratados com clonazepam.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?
RIVOTRIL,medio,Quais são as recomendações da bula sobre o uso de Rivotril com alimentos e com álcool?,"Quanto aos alimentos, a bula informa que interações com alimentos não foram estabelecidas, mas que o suco de toranja pode aumentar o efeito de Rivotril. Quanto ao álcool, a bula orienta não tomar Rivotril com álcool e/ou depressores do sistema nervoso central, pois a combinação pode aumentar seus efeitos e causar sedação grave, coma ou morte, além de depressão cardiovascular e/ou respiratória.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?
RIVOTRIL,medio,Como a duração de ação do Rivotril em adultos orienta a frequência de administração?,"A bula informa que a ação de uma dose oral única de Rivotril inicia em 30 a 60 minutos e se estende por 8 a 12 horas em adultos. Esse dado ajuda a entender por que algumas posologias são divididas ao longo do dia, mas a frequência exata depende da indicação e da orientação médica: por exemplo, em epilepsia a dose diária pode ser dividida em 3 doses; em distúrbio do pânico, a dose inicial é dividida em 2 doses; e em vertigem/distúrbios do equilíbrio há esquema de 2 vezes ao dia.",COMO ESTE MEDICAMENTO FUNCIONA? / COMO DEVO USAR ESTE MEDICAMENTO?
