Model,Pipeline_Raw,Pipeline,Difficulty_Raw,Dificuldade,BLEU,ROUGE,BERTScore,Contextual Recall,Contextual Precision,Evidence Sufficiency,Faithfulness,Answer Relevancy,Response Completeness,Unsupported Claims,Clinical Safety,Warning Preservation,Inference Control,Inference Time (s)
Gemma 4:4b,06_naive,Naive RAG,faceis,Fáceis,0.16804253805517044,0.3956824273510898,0.7679980993270874,1.0,0.7600000000000001,1.0,0.9466666666666668,0.8533333333333334,0.8166666666666667,0.9333333333333333,0.9333333333333333,0.9166666666666666,0.9166666666666666,19.942533333333337
Gemma 4:4b,06_naive,Naive RAG,medias,Médias,0.1945212451263334,0.42394522155913694,0.7806452512741089,1.0,0.8000000000000003,1.0,0.9866666666666667,0.8400000000000002,0.7,1.0,0.9333333333333333,0.8,0.8666666666666667,22.58606666666667
Gemma 4:4b,06_naive,Naive RAG,dificeis,Difíceis,0.1528530796992176,0.36523750818918516,0.7703141570091248,1.0,0.7866666666666668,1.0,0.92,0.8,0.6166666666666667,0.9833333333333333,0.8666666666666667,0.7166666666666667,0.85,29.651333333333334
Gemma 4:4b,01_standard,Standard RAG,faceis,Fáceis,0.17431384713922402,0.41099873548607135,0.7720853090286255,0.9466666666666667,0.6933333333333334,0.9333333333333333,0.9600000000000001,0.9066666666666666,0.9,0.9666666666666667,0.9333333333333333,0.9,0.95,20.645
Gemma 4:4b,01_standard,Standard RAG,medias,Médias,0.18138681701281714,0.4187640121938053,0.7704998850822449,0.8533333333333333,0.6933333333333332,0.8166666666666667,1.0,0.84,0.6833333333333333,1.0,0.8833333333333333,0.7666666666666667,0.9333333333333333,21.737733333333335
Gemma 4:4b,01_standard,Standard RAG,dificeis,Difíceis,0.1660537009739499,0.36835567287847554,0.7663395404815674,0.8800000000000001,0.7466666666666668,0.85,0.9066666666666667,0.8133333333333334,0.6,0.8666666666666667,0.85,0.7166666666666667,0.7166666666666667,30.809799999999996
Gemma 4:4b,02_agentic,Agentic RAG,faceis,Fáceis,0.16525452196441573,0.39819667409930587,0.7620733976364136,0.8933333333333332,0.7066666666666668,0.8666666666666667,0.9600000000000002,0.8800000000000001,0.8166666666666667,0.9166666666666666,0.8833333333333333,0.85,0.9166666666666666,16.169933333333333
Gemma 4:4b,02_agentic,Agentic RAG,medias,Médias,0.15555057450535514,0.38925163170171606,0.7580744624137878,0.7866666666666666,0.7466666666666667,0.7333333333333333,0.92,0.8133333333333334,0.55,0.9666666666666667,0.8166666666666667,0.6333333333333333,0.8833333333333333,25.157666666666668
Gemma 4:4b,02_agentic,Agentic RAG,dificeis,Difíceis,0.17858710316832319,0.4143768766711843,0.7796552181243896,0.9866666666666667,0.8000000000000002,0.9833333333333333,0.9066666666666667,0.92,0.7166666666666667,0.8833333333333333,0.9166666666666666,0.75,0.8166666666666667,30.307599999999994
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,faceis,Fáceis,0.18926102097363068,0.4354704436079675,0.7776000499725342,0.9333333333333333,0.7733333333333334,0.9,0.9600000000000001,0.9199999999999999,0.9166666666666666,0.9666666666666667,0.95,0.9333333333333333,0.95,16.751199999999997
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,medias,Médias,0.1756322159796201,0.41862349990824227,0.769940197467804,0.8666666666666666,0.8000000000000002,0.8333333333333334,0.9600000000000001,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.8833333333333333,0.7666666666666667,0.9666666666666667,24.53106666666667
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,dificeis,Difíceis,0.15716116545840123,0.3728745220248909,0.7711910009384155,1.0,0.7733333333333334,1.0,0.9066666666666667,0.9600000000000001,0.7666666666666667,0.8833333333333333,0.9166666666666666,0.85,0.85,32.739133333333335
Gemma 4:4b,04_fusion,Fusion RAG,faceis,Fáceis,0.16993432351935436,0.4051781836484571,0.7695327997207642,0.9333333333333333,0.88,0.9166666666666666,0.9866666666666667,0.9066666666666666,0.9333333333333333,1.0,0.9666666666666667,0.9333333333333333,0.9833333333333333,10.877600000000001
