pipeline,modelo,nome_remedio,nivel,pergunta,dificuldade,resposta_esperada,secoes_esperadas,resposta_gerada,resposta_crua,secoes_recuperadas,chunk_ids_recuperados,textos_recuperados,tempo_recuperacao_segundos,tempo_inferencia_segundos,guarded_planner_primary,guarded_planner_secondary,guarded_planner_safety,guarded_expanded_sections,guarded_confidence,guarded_fallback_triggered,guarded_debug_trace
fusion_rag,ollama:mediphi-instruct,AMOXIL,medio,Como deve ser ajustada a dose de Amoxil suspensão oral para uma criança de 30 kg com insuficiência renal moderada?,medio,"Para crianças abaixo de 40 kg com insuficiência renal moderada, a bula orienta 15 mg/kg duas vezes ao dia, de 12 em 12 horas, respeitando o máximo de 500 mg duas vezes ao dia. Para uma criança de 30 kg, isso corresponde a 450 mg por dose, duas vezes ao dia.",COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada de AMOXIL, não constam informações sobre como ajustar as doses em pacientes pediátricos ou para crianças.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica. É recomendável consultar um profissional de saúde para orientação individualizada.*","Na bula consultada de AMOXIL, não constam informações sobre como ajustar as doses em pacientes pediátricos ou para crianças.",,,[],7.239,1.116,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,medio,Por que tomar Amoxil no início das refeições pode ser útil quando ocorrem enjoo ou diarreia durante o tratamento?,medio,"A bula informa que diarreia e enjoo são reações comuns e que, quando acontecem, normalmente são leves e frequentemente podem ser evitados tomando-se o medicamento no início das refeições. Ao mesmo tempo, a alimentação não interfere na ação de Amoxil, que pode ser ingerido nas refeições.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / QUAIS OS MALES QUE ESTE MEDICAMENTO PODE ME CAUSAR?,"Na bula consultada de AMOXIL, não constam informações sobre por que tomar Amoxil no início das refeições para reduzir os efeitos gastrointestinais. Na bula do medicamento diz apenas ""Tomar com alimentos ou leite.""

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de AMOXIL, não constam informações sobre por que tomar Amoxil no início das refeições para reduzir os efeitos gastrointestinais. Na bula do medicamento diz apenas ""Tomar com alimentos ou leite.""",,,[],5.712,1.764,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,medio,Como a bula concilia a recomendação de tomar Amoxil nas refeições com a informação de que ele continua eficaz em outros horários?,medio,"A bula recomenda ingerir Amoxil nas refeições, mas esclarece que ele continua eficaz mesmo se tomado em outros horários. Também afirma que a alimentação não interfere na ação de Amoxil. Assim, tomar nas refeições é aceitável e pode melhorar a tolerabilidade, mas não é necessário para manter a eficácia.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada do AMOXIL, não constam informações sobre o momento ideal para ingerir este medicamento.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada do AMOXIL, não constam informações sobre o momento ideal para ingerir este medicamento.",,,[],4.035,0.852,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,medio,Qual é o esquema de Amoxil para erradicação de Helicobacter pylori e quais outros tipos de medicamentos devem ser associados segundo a bula?,medio,"Para erradicação de Helicobacter pylori, a bula da suspensão oral recomenda Amoxil 750 mg a 1 g duas vezes ao dia, associado a um inibidor da bomba de prótons, como omeprazol ou lansoprazol, e a outro agente antimicrobiano, como claritromicina ou metronidazol, por 7 dias.",COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada de AMOXIL, não constam informações sobre esquema para erradicação do Helicobacter pylori ou quais outros tipos de medicamentos devem ser associados.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de AMOXIL, não constam informações sobre esquema para erradicação do Helicobacter pylori ou quais outros tipos de medicamentos devem ser associados.",,,[],4.953,1.402,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,AMOXIL,medio,Por que pacientes com fenilcetonúria devem ter cautela especificamente com Amoxil suspensão oral?,medio,"Porque a formulação em suspensão oral contém aspartamo, que é fonte de fenilalanina. A bula informa que Amoxil suspensão deve ser usado com cautela em pacientes com fenilcetonúria e orienta informar o médico caso o paciente tenha essa doença.",IDENTIFICAÇÃO DO MEDICAMENTO / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?,"Na bula consultada de AMOXIL, não constam informações sobre porquê os pacientes que têm fenilcetonúria devem ter cautela.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de AMOXIL, não constam informações sobre porquê os pacientes que têm fenilcetonúria devem ter cautela.",,,[],5.404,1.77,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,medio,"Em crianças com distúrbios epilépticos, como a faixa etária ou peso altera a dose inicial de Rivotril e que cuidado respiratório deve ser observado em lactentes e crianças pequenas?",medio,"Para recém-nascidos e crianças até 10 anos de idade ou 30 kg, a dose inicial média é de 0,01 a 0,03 mg/kg/dia, não excedendo 0,05 mg/kg/dia, dividida em 2 ou 3 doses. Para crianças entre 10 e 16 anos, a dose inicial é de 1 a 1,5 mg/dia, dividida em 2 a 3 doses. A bula também alerta que Rivotril pode aumentar a salivação e as secreções brônquicas em lactentes e crianças pequenas, devendo-se manter as vias aéreas livres.",COMO DEVO USAR ESTE MEDICAMENTO? / O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?,"Na bula consultada para o medicamento RIVOTRIL, não constam informações sobre a faixa etária ou peso que afetem as doses iniciais em relação aos distúrbios epilépticos. Além disso, os cuidados respiratórios específicos relacionados com lactentes e crianças pequenas não estão detalhados na bula fornecida para este medicamento RIVOTRIL.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada para o medicamento RIVOTRIL, não constam informações sobre a faixa etária ou peso que afetem as doses iniciais em relação aos distúrbios epilépticos. Além disso, os cuidados respiratórios específicos relacionados com lactentes e crianças pequenas não estão detalhados na bula fornecida para este medicamento RIVOTRIL.",,,[],2.053,2.977,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,medio,"Por que pacientes idosos devem usar a menor dose possível de Rivotril, segundo a bula?",medio,"A bula informa que os efeitos dos benzodiazepínicos parecem ser maiores em pacientes idosos do que em pacientes mais jovens, mesmo em concentrações plasmáticas similares. Na seção de posologia, orienta que a dose mais baixa possível deve ser utilizada em idosos e que deve haver cuidado especial durante alterações de dose.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada de RIVOTRIL, não constam informações sobre porquê os pacientes idosos devem utilizar uma dosagem mínima.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica. É recomendável consultar um profissional de saúde para orientação individualizada.*","Na bula consultada de RIVOTRIL, não constam informações sobre porquê os pacientes idosos devem utilizar uma dosagem mínima.",,,[],4.94,1.136,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,medio,Como a conduta com Rivotril difere entre pacientes com comprometimento hepático grave e aqueles com comprometimento hepático leve a moderado?,medio,"Pacientes com comprometimento hepático grave não devem ser tratados com clonazepam/Rivotril, pois a bula contraindica o uso nesses casos. Já pacientes com comprometimento hepático leve a moderado devem receber a dose mais baixa possível.",QUANDO NÃO DEVO USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada de RIVOTRIL, não constam informações sobre como o medicamento é administrado em pacientes com diferentes graus de comprometimento hepático.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de RIVOTRIL, não constam informações sobre como o medicamento é administrado em pacientes com diferentes graus de comprometimento hepático.",,,[],4.153,1.555,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,medio,Quais são as recomendações da bula sobre o uso de Rivotril com álcool e com suco de toranja?,medio,"A bula orienta não tomar Rivotril com álcool e/ou depressores do sistema nervoso central, porque essa combinação pode aumentar os efeitos do medicamento e causar sedação grave, coma ou morte, além de depressão cardiovascular e/ou respiratória. Sobre alimentos, informa que interações com alimentos não foram estabelecidas, mas que o suco de toranja pode aumentar o efeito de Rivotril.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO?,"Na bula consultada de RIVOTRIL, não constam informações específicas relacionadas ao consumo concomitante ou interação entre o uso do medicamento e álcool. Não há detalhes sobre a ingestão com suco de toranja na descrição da bula fornecida para este remédio.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada de RIVOTRIL, não constam informações específicas relacionadas ao consumo concomitante ou interação entre o uso do medicamento e álcool. Não há detalhes sobre a ingestão com suco de toranja na descrição da bula fornecida para este remédio.",,,[],3.414,2.481,,,,,,False,{}
fusion_rag,ollama:mediphi-instruct,RIVOTRIL,medio,Como a orientação para não interromper Rivotril subitamente se relaciona com o risco de abstinência e novas crises epilépticas descrito na bula?,medio,"A bula informa que a retirada brusca deve ser evitada, pois a descontinuação súbita pode causar sintomas de abstinência, incluindo ansiedade, alterações de humor, irritabilidade e convulsões epiléticas. Também orienta que o paciente não pare de tomar Rivotril subitamente, pois pode ter novas crises epilépticas, e que a interrupção deve ocorrer com redução gradual da dose sob orientação médica.",O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? / COMO DEVO USAR ESTE MEDICAMENTO?,"Na bula consultada do medicamento, não constam informações sobre a interrupção súbita da Rivotril.

---
*Esta resposta se baseia apenas nos trechos da bula recuperados e não substitui orientação médica ou farmacêutica.*","Na bula consultada do medicamento, não constam informações sobre a interrupção súbita da Rivotril.",,,[],4.74,1.109,,,,,,False,{}
