nome_remedio,nivel,pergunta,resposta_esperada,secoes_esperadas
AMOXIL,medio,Como deve ser ajustada a dose de Amoxil para uma criança de 30 kg com insuficiência renal moderada?,,
AMOXIL,medio,Por que é recomendável tomar Amoxil no início das refeições em caso de diarreia?,,
AMOXIL,medio,A alimentação interfere na ação de Amoxil ou posso tomá-lo durante as refeições?,,
AMOXIL,medio,Por que o tratamento de erradicação de Helicobacter pylori com Amoxil exige associação com um inibidor da bomba de prótons e outro antimicrobiano?,,
AMOXIL,medio,Por que pacientes com fenilcetonúria devem usar Amoxil em suspensão oral com cautela?,,
RIVOTRIL,medio,Em crianças com epilepsia, qual dose inicial de Rivotril é recomendada e que cuidado específico deve ser observado?,,
RIVOTRIL,medio,Por que pacientes idosos devem iniciar com a menor dose possível de Rivotril e onde isso está indicado na bula?,,
RIVOTRIL,medio,Em pacientes com comprometimento hepático leve a moderado, qual ajuste de dose deve ser considerado?,,
RIVOTRIL,medio,Quais são as recomendações da bula sobre o uso de Rivotril com alimentos e com álcool?,,
RIVOTRIL,medio,Como a duração de ação do Rivotril em adultos orienta a frequência de administração?,,
TYLENOL,medio,Crianças menores de 12 anos podem usar TYLENOL?,,
TYLENOL,medio,Qual é a dose diária máxima recomendada de TYLENOL e por que não se deve ultrapassar esse limite?,,
TYLENOL,medio,Como a ingestão de alimentos influencia a absorção e o início de ação de TYLENOL?,,
TYLENOL,medio,Se eu esquecer de tomar uma dose de TYLENOL, como devo proceder sem comprometer o tratamento?,,
TYLENOL,medio,Quais cuidados especiais devem ser observados em pacientes com problemas no fígado antes de usar TYLENOL e por quê?,,
